"TimeGenerated [UTC]",DeviceId,SourceIp,UserId,UserPrincipalName,DestinationIp,DestinationPort,TenantId,TransactionId,ConnectionId,SessionId,TrafficType,DeviceCategory,DestinationFqdn,SourcePort,DeviceOperatingSystem,DeviceOperatingSystemVersion,AgentVersion,TransportProtocol,NetworkProtocol,Action,PolicyRuleId,PolicyId,SentBytes,ReceivedBytes,ReferrerHeader,OriginHeader,XForwardedFor,DestinationWebCategories,FilteringProfileId,FilteringProfileName,PolicyName,RuleName,InitiatingProcessName,ResourceTenantId,ThreatType,DestinationUrl,Description,AppId,ConnectorId,ConnectorName,ConnectorIp,ConnectionStatus,AccessType,ProcessingRegion,SourceSystem,Type
"6/26/2024, 2:25:23.000 PM",8842076412819800000,"6.56.94.88",6419042465817269000,"32511731@obfuscated.com",,443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142523Z-r15b5c656887xwvdxsqqknhrrc00000079s000000000024u","BSZXgsu7GU+Kdr1r.0",,microsoft365,Client,"login.microsoftonline.com",51719,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",0,0,,,,,,,,,"backgroundTaskHost.exe",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:23.000 PM",8842076412819800000,"92.180.82.163",6419042465817269000,"28485066@obfuscated.com","40.97.204.2",443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142523Z-r15b5c656887xwvdxsqqknhrrc00000079sg0000000001u5","7LJvlnoiHkWVjqQj.0",,microsoft365,Client,"outlook-sdf.office.com",51719,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",5913,66560,,,,,,,,,"msedgewebview2.exe",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:23.000 PM",8842076412819800000,"81.92.238.185",6419042465817269000,"18058793@obfuscated.com","40.97.204.2",443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142523Z-r15b5c656887xwvdxsqqknhrrc00000079sg0000000001u6","BRe7B9/raUSGS6yT.0",,microsoft365,Client,"outlook-sdf.office.com",51719,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",5403,12899,,,,,,,,,"msedgewebview2.exe",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:23.000 PM","-677150439900879600","198.65.246.231",8627087272850670000,"98479538@obfuscated.com","52.96.57.18",443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142523Z-r1bdb486f5bs6frxsr2xvdpac0000000kps00000000004ck","3/vWCANT7Eauij7s.0",,microsoft365,Client,"outlook.office365.com",59065,"Windows 11 Enterprise","10.0.26120","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",7522,9566,,,,,,,,,"OUTLOOK.EXE",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:23.000 PM",8842076412819800000,"70.246.188.58",6419042465817269000,"32731652@obfuscated.com","52.96.190.194",443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142522Z-r15b5c656887xwvdxsqqknhrrc00000079sg0000000001tz","v1fKlMo7nUG4+BVn.0",,microsoft365,Client,"outlook.office365.com",51719,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",8181,10140,,,,,,,,,"OUTLOOK.EXE",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:23.000 PM",8842076412819800000,"119.208.65.98",6419042465817269000,"04472528@obfuscated.com","40.97.204.2",443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142522Z-r15b5c656887xwvdxsqqknhrrc00000079sg0000000001tx","7LJvlnoiHkWVjqQj.0",,microsoft365,Client,"outlook-sdf.office.com",51719,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",6098,16371,,,,,,,,,"msedgewebview2.exe",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:24.000 PM","-1182680621469496300","105.39.243.33",4324042219996216000,"63319769@obfuscated.com","208.84.4.1",443,"31803c28-f705-4a43-808b-e8a4046c163e","040e05d4-4e68-4e26-a9d0-616379795bcb","XUkdzXp59E2zslqw.0",,internet,Client,"dns-sdf.office.com",60388,"Windows 11 Enterprise","10.0.22631","2.0.0",Tcp,Ipv4,Allow,"64c79d23-7edd-4294-88dd-4f4792919de6","ccdc50c8-9ad3-41a9-9649-1ae37cc523f9",1742,4680,,,,ComputersAndTechnology,"5f6a3463-15ac-4b17-a080-cdbfac7307af","Baseline Profile","Allow all websites","*","svchost.exe",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:24.000 PM",8842076412819800000,"35.41.78.74",6419042465817269000,"33706218@obfuscated.com",,443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142524Z-r15b5c656887xwvdxsqqknhrrc00000079s0000000000256","F52JSfdGqUCMBOUV.0",,microsoft365,Client,"outlook.office365.com",51719,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",0,0,,,,,,,,,"OUTLOOK.EXE",,,,,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:24.000 PM",8842076412819800000,"172.236.196.27",6419042465817269000,"40731989@obfuscated.com","184.28.149.93",80,"31803c28-f705-4a43-808b-e8a4046c163e","a317e1c5-62dd-4608-b83b-9645098c46fa","3U6agdF1XkOh0AsR.0",,internet,Client,"x1.c.lencr.org",51728,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,"64c79d23-7edd-4294-88dd-4f4792919de6","ccdc50c8-9ad3-41a9-9649-1ae37cc523f9",0,0,,,,ComputersAndTechnology,"5f6a3463-15ac-4b17-a080-cdbfac7307af","Baseline Profile","Allow all websites","*","svchost.exe",,,"http://x1.c.lencr.org/",,,,,,,,,,NetworkAccessTraffic
"6/26/2024, 2:25:24.000 PM",8842076412819800000,"119.158.227.78",6419042465817269000,"24418928@obfuscated.com",,443,"31803c28-f705-4a43-808b-e8a4046c163e","20240626T142523Z-r15b5c656887xwvdxsqqknhrrc00000079sg0000000001u3","BSZXgsu7GU+Kdr1r.0",,microsoft365,Client,"login.microsoftonline.com",51719,"Windows 11 Enterprise","10.0.22635","2.0.0",Tcp,Ipv4,Allow,,"937d26fa-4e4a-4a0c-8b75-5c0c5402702c",3402,2887,,,,,,,,,"backgroundTaskHost.exe","536279f6-15cc-45f2-be2d-61e352b51eef",,,,,,,,,,,,NetworkAccessTraffic
