TimeGenerated,TenantId,auditlogId,action,status,sourceIP,userAgent,user,serviceAccount,timestamp,Type,_ItemId
2026-08-10T08:00:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1000,Login,SUCCESS,203.0.113.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0001"", ""name"": ""jsmith@example-corp.com"", ""email"": ""jsmith@example-corp.com""}",,2026-08-10T08:00:00Z,WizAuditlogsV3_CL,item-2000
2026-08-11T09:07:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1001,TokenRefresh,SUCCESS,203.0.113.11,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0002"", ""name"": ""amartinez@example-corp.com"", ""email"": ""amartinez@example-corp.com""}",,2026-08-11T09:07:00Z,WizAuditlogsV3_CL,item-2001
2026-08-12T10:14:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1002,Login,FAILED,198.51.100.20,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,,"{""id"": ""svc-1001"", ""name"": ""ci-pipeline-runner""}",2026-08-12T10:14:00Z,WizAuditlogsV3_CL,item-2002
2026-08-13T11:21:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1003,TokenRefresh,SUCCESS,203.0.113.12,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0003"", ""name"": ""tlee@example-corp.com"", ""email"": ""tlee@example-corp.com""}",,2026-08-13T11:21:00Z,WizAuditlogsV3_CL,item-2003
2026-08-14T12:28:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1004,Login,FAILED,198.51.100.21,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0004"", ""name"": ""khassan@example-corp.com"", ""email"": ""khassan@example-corp.com""}",,2026-08-14T12:28:00Z,WizAuditlogsV3_CL,item-2004
2026-08-15T13:35:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1005,Login,SUCCESS,203.0.113.13,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,,"{""id"": ""svc-1002"", ""name"": ""terraform-automation""}",2026-08-15T13:35:00Z,WizAuditlogsV3_CL,item-2005
2026-08-16T14:42:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1006,TokenRefresh,SUCCESS,203.0.113.14,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0005"", ""name"": ""rwong@example-corp.com"", ""email"": ""rwong@example-corp.com""}",,2026-08-16T14:42:00Z,WizAuditlogsV3_CL,item-2006
2026-08-17T15:49:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1007,Login,SUCCESS,198.51.100.22,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0001"", ""name"": ""jsmith@example-corp.com"", ""email"": ""jsmith@example-corp.com""}",,2026-08-17T15:49:00Z,WizAuditlogsV3_CL,item-2007
2026-08-18T16:56:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1008,Login,FAILED,203.0.113.15,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0006"", ""name"": ""dpatel@example-corp.com"", ""email"": ""dpatel@example-corp.com""}",,2026-08-18T16:56:00Z,WizAuditlogsV3_CL,item-2008
2026-08-19T17:03:00Z,b6e1a9f0-1234-4a5b-8c9d-abcdef012345,al-1009,TokenRefresh,SUCCESS,203.0.113.16,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/128.0.0.0 Safari/537.36,"{""id"": ""usr-0002"", ""name"": ""amartinez@example-corp.com"", ""email"": ""amartinez@example-corp.com""}",,2026-08-19T17:03:00Z,WizAuditlogsV3_CL,item-2009
