TimeGenerated [UTC],AlertId,AlertName,AlertDescription,AlertVerdict,AlertStatus,AlertOriginalStatus,Dvc,DvcDescription,DvcIpAddr,DvcId,DvcIdType,DvcOs,DvcOsVersion,User,ProcessName,ProcessId,ProcessCommandLine,FileName,EventUid,EventType,EventCount,EventSeverity,EventOriginalSeverity,EventMessage,EventOriginalType,EventSubType,EventOriginalSubType,EventStartTime [UTC],EventEndTime [UTC],EventProduct,EventVendor,EventResult,EventSchema,EventSchemaVersion,IpAddr,,Username,UsernameType,Rule,RuleNumber,RuleName,RuleDescription,DvcHostname,Hostname,ThreatOriginalCategory,AttackTactics,AttackTechniques,Type,AdditionalFields
"6/29/2026, 1:52:41.887 PM",2512491795104365212,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AWUxxxxUS1,server,10.0.0.8,f6ea2xxxxf6ea2,Other,windows,Windows Server 2016 Datacenter,FMBxxx@test.com,lsass.exe,812,lsass.exe,lsass.exe,2512491795104365212,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"6/29/2026, 1:52:41.887 PM","6/29/2026, 1:52:41.887 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,a00xxx@test.com,UPN,Failed Login to server via VSPHERE,,Failed Login to server via VSPHERE,Login from VSPHERE.  THIS IS RARE verify an admin is using it.  Should never be regular user.,KNGxxxxG04,KNGxxxxG04,,,,SentinelOneAlerts_CL,{}
"6/12/2026, 2:19:48.735 PM",2500184254657827426,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.3,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2500184254657827426,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"6/12/2026, 2:19:48.735 PM","6/12/2026, 2:19:48.735 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,a00xxx@test.com,UPN,Successful Login to server via VSPHERE,,Successful Login to server via VSPHERE,Login from VSPHERE.  THIS IS RARE verify an admin is using it.  Should never be regular user.,KNGxxxxG04,KNGxxxxG04,,,,SentinelOneAlerts_CL,{}
"6/20/2026, 6:41:26.475 PM",2506114142683146814,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.4,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2506114142683146814,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"6/20/2026, 6:41:26.475 PM","6/20/2026, 6:41:26.475 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"6/25/2026, 3:35:53.996 PM",2509644635319876512,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.12,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2509644635319876512,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"6/25/2026, 3:35:53.996 PM","6/25/2026, 3:35:53.996 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,serxxx@test.com,UPN,Service Account Logged in via RDP,,Service Account Logged in via RDP,,AEUxxxxUS1,AEUxxxxUS1,,,,SentinelOneAlerts_CL,{}
"6/26/2026, 7:05:53.991 PM",2510475107631739414,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.20,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2510475107631739414,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"6/26/2026, 7:05:53.991 PM","6/26/2026, 7:05:53.991 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"6/27/2026, 7:05:58.825 PM",2511199923762681338,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.17,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2511199923762681338,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"6/27/2026, 7:05:58.825 PM","6/27/2026, 7:05:58.825 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,THOxxx@test.com,UPN,File Signed by Connectwise Detected (ScreenConnect),,File Signed by Connectwise Detected (ScreenConnect),,JE8xxxx82U,JE8xxxx82U,,,,SentinelOneAlerts_CL,{}
"7/1/2026, 11:45:22.685 AM",2513877264292021880,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.15,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2513877264292021880,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/1/2026, 11:45:22.685 AM","7/1/2026, 11:45:22.685 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,inxxx@test.com,UPN,attempted access to upload[.]ee detected,,attempted access to upload[.]ee detected,This website can be used to download nefarious items.,dcsxxxxs01,dcsxxxxs01,,,,SentinelOneAlerts_CL,{}
"7/14/2026, 11:49:24.448 AM",2523301376835454191,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.13,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2704,svchost.exe,svchost.exe,2523301376835454191,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/14/2026, 11:49:24.448 AM","7/14/2026, 11:49:24.448 AM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,OP-xxx@test.com,UPN,Detect Unapproved Browser (Opera and Brave),,Detect Unapproved Browser (Opera and Brave),"Mitigate and Delete unapproved Internet browsers (Opera, Brave) to be executed",DESxxxxSKT,DESxxxxSKT,,,,SentinelOneAlerts_CL,{}
"7/17/2026, 3:52:57.338 PM",2525598285826241346,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.10,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2988,svchost.exe,svchost.exe,2525598285826241346,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/17/2026, 3:52:57.338 PM","7/17/2026, 3:52:57.338 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,THOxxx@test.com,UPN,File Signed by Connectwise Detected (ScreenConnect),,File Signed by Connectwise Detected (ScreenConnect),,JE8xxxx82U,JE8xxxx82U,,,,SentinelOneAlerts_CL,{}
"7/18/2026, 6:39:56.540 PM",2526407108726665170,Service Account Logged in via RDP,REMOTE_INTERACTIVE logon successful,Unknown,Active,unresolved,AEUxxxxUS1,server,10.0.0.5,3b41axxxx3b41a,Other,windows,Windows Server 2022 Datacenter Azure Edition,serxxx@test.com,svchost.exe,2988,svchost.exe,svchost.exe,2526407108726665170,Alert,1,High,High,REMOTE_INTERACTIVE logon successful,WINLOGONATTEMPT,Suspicious Activity,suspicious,"7/18/2026, 6:39:56.540 PM","7/18/2026, 6:39:56.540 PM",Singularity,SentinelOne,Success,AlertEvent,0.1,10.0.0.0,,KF0xxx@test.com,UPN,System Keep Awake tool,1712111159,System Keep Awake tool,"This rule is defined to detect system keep awake tools, such as Mouse Jiggler, MoveMouse, Caffeine, Stay Awake, and DontSleep.",AEUxxxxUS1,AEUxxxxUS1,ProcessStartedFromLnk,"Execution, Stealth",Masquerade File Type (T1036.008),SentinelOneAlerts_CL,{}
