TimeGenerated [UTC],eventId,eventName,eventType,eventVersion,eventCategory,eventRW,eventSource,serviceName,sourceIpAddress,userAgent,userIdentity,requestId,requestParameters,requestParameterJson,responseElements,additionalEventData,referencedResources,resourceName,resourceType,errorCode,errorMessage,apiVersion,acsRegion,isGlobal,Type
2026-09-01T10:40:00Z,um-evt-0001,CreateUser,ApiCall,1,Management,Insert,ims.aliyuncs.com,Ims,203.0.113.40,AlibabaCloud Console,"{""type"": ""root-account"", ""principalId"": ""2900000000"", ""accountId"": ""188888888801"", ""userName"": ""admin0@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000001,"{""UserName"": ""new.hire""}",,"{""User"": {""UserId"": ""281900000001"", ""UserPrincipalName"": ""new.hire@ali-corp.onaliyun.com""}}",{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-02T11:40:00Z,um-evt-0002,DeleteUser,ApiCall,1,Management,Insert,ims.aliyuncs.com,Ims,203.0.113.41,AlibabaCloud Console,"{""type"": ""ram-user"", ""principalId"": ""2900000001"", ""accountId"": ""188888888801"", ""userName"": ""admin1@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000002,"{""UserName"": ""old.contractor""}",,{},{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-03T12:40:00Z,um-evt-0003,AddUserToGroup,ApiCall,1,Management,Insert,ims.aliyuncs.com,Ims,203.0.113.42,AlibabaCloud Console,"{""type"": ""ram-user"", ""principalId"": ""2900000002"", ""accountId"": ""188888888801"", ""userName"": ""admin2@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000003,"{""UserName"": ""alice"", ""GroupName"": ""Admins""}",,{},{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-04T13:40:00Z,um-evt-0004,UpdateLoginProfile,ApiCall,1,Management,Insert,ims.aliyuncs.com,Ims,203.0.113.43,AlibabaCloud Console,"{""type"": ""ram-user"", ""principalId"": ""2900000003"", ""accountId"": ""188888888801"", ""userName"": ""admin3@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000004,"{""UserName"": ""bob"", ""Status"": ""Inactive""}",,{},{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-05T14:40:00Z,um-evt-0005,CreateUser,ApiCall,1,Management,Insert,cloudsso.aliyuncs.com,CloudSSO,203.0.113.44,AlibabaCloud Console,"{""type"": ""root-account"", ""principalId"": ""2900000004"", ""accountId"": ""188888888801"", ""userName"": ""admin4@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000005,"{""UserName"": ""carol@ali-corp.onaliyun.com""}",,"{""User"": {""UserId"": ""u-abc123"", ""UserName"": ""carol@ali-corp.onaliyun.com""}}",{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-06T15:40:00Z,um-evt-0006,UpdateUserStatus,ApiCall,1,Management,Insert,cloudsso.aliyuncs.com,CloudSSO,198.51.100.1,AlibabaCloud Console,"{""type"": ""ram-user"", ""principalId"": ""2900000005"", ""accountId"": ""188888888801"", ""userName"": ""admin5@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000006,"{""UserId"": ""u-abc123"", ""NewStatus"": ""Disabled""}",,{},{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-07T16:40:00Z,um-evt-0007,DeleteUser,ApiCall,1,Management,Insert,cloudsso.aliyuncs.com,CloudSSO,198.51.100.2,AlibabaCloud Console,"{""type"": ""ram-user"", ""principalId"": ""2900000006"", ""accountId"": ""188888888801"", ""userName"": ""admin6@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000007,"{""UserId"": ""u-def456""}",,{},{},{},,,NoPermission,The specified action is not authorized.,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-01T17:40:00Z,um-evt-0008,CreateRole,ApiCall,1,Management,Insert,ram.aliyuncs.com,Ram,198.51.100.3,AlibabaCloud Console,"{""type"": ""ram-user"", ""principalId"": ""2900000007"", ""accountId"": ""188888888801"", ""userName"": ""admin7@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000008,"{""RoleName"": ""OSSReadOnlyRole""}",,"{""Role"": {""RoleName"": ""OSSReadOnlyRole"", ""Arn"": ""acs:ram::188888888801:role/OSSReadOnlyRole""}}",{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-02T18:40:00Z,um-evt-0009,AttachPolicyToRole,ApiCall,1,Management,Insert,ram.aliyuncs.com,Ram,198.51.100.4,AlibabaCloud Console,"{""type"": ""root-account"", ""principalId"": ""2900000008"", ""accountId"": ""188888888801"", ""userName"": ""admin8@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000009,"{""RoleName"": ""OSSReadOnlyRole"", ""PolicyName"": ""AliyunOSSReadOnlyAccess""}",,{},{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-03T19:40:00Z,um-evt-0010,ChangePassword,ApiCall,1,Management,Insert,ims.aliyuncs.com,Ims,198.51.100.5,AlibabaCloud Console,"{""type"": ""ram-user"", ""principalId"": ""2900000009"", ""accountId"": ""188888888801"", ""userName"": ""admin9@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-u-000010,"{""UserName"": ""dave""}",,{},{},{},,,,,2019-08-15,cn-hangzhou,true,AliCloudActionTrailLogs_CL
