TimeGenerated,RequestSize,ExecTime,Action,PlatformType,OsName,OsVersion,Timestamp,StatusCode,EventType,ReferrerUri,UserAgent,BrowserType,Time,ResponseSize,DeviceId,DeviceModel,SourceIp,ClientIp,Success,Uri,Url,ClientName,UserType,UserInitiatedLogout,UserIdDerived,UserId,UserEmail,User,UriIdDerived,UiEventType,UiEventTimestamp,UiEventSource,UiEventSequenceNum,UiEventId,TlsProtocol,TimestampDerived,TargetUiElement,Sort,SessionType,SessionLevel,SessionKey,SearchQuery,SdkVersion,SdkAppVersion,SdkAppType,RunTime,RowsProcessed,RowCount,ResolutionType,RequestStatus,RequestId,ReportIdDerived,ReportId,RenderingType,RelatedList,RecordType,RecordId,Quiddity,QueryId,PrevpageUrl,PrevpageEntityType,PrevpageEntityId,PrevpageContext,PrevpageAppName,PrefixesSearched,ParentUiElement,PageUrl,PageStartTime,PageEntityType,PageEntityId,PageContext,PageAppName,Origin,OrganizationId,NumResults,NumberSoqlQueries,NumberFields,NumberExceptionFilters,NumberColumns,NumberBuckets,MethodName,Method,MediaType,LoginStatus,LoginKey,HttpMethod,GrandparentUiElement,EntryPoint,EntityName,Entity,EffectivePageTime,Duration,DisplayType,DeviceSessionId,DevicePlatform,DbTotalTime,DbCpuTime,DbBlocks,CpuTime,ConnectionType,ComponentName,ClientVersion,ClientId,CipherSuite,CalloutTime,BrowserVersion,BrowserName,AverageRowSize,AppType,AppName,ApiVersion,ApiType,ArticleVersionId,ArticleVersion,ArticleStatus,ArticleId,AnalyticsMode,BatchId,ClickedRecordId,ClassName,ComponentIdDerived,ComponentId,ControllerType,Context,ConsoleIdDerived,ConsoleId,ClientInfo,DstBytes,DstUser,DstUserSid,DstUserSidDerived,Data,DashboardType,DashboardIdDerived,DashboardId,DashboardComponentId,DvcAction,DvcOS,DvcOSName,DvcOSVersion,DeliveryLocation,DeliveryId,DocumentIdDerived,DocumentId,EntityType,EntityId,FileType,FilePreviewType,ExceptionType,ExceptionMessage,Ept,EventCount,EventEndTime,EventResult,FileSize,HttpReferrerOriginal,HttpUserAgentOriginal,HttpUserAgent,LogGroupId,LimitUsagePercent,LicenseContext,LastVersion,Language,JobId,IsSuccess,IsSecure,IsScheduled,IsNew,IsMobile,IsLongRunningRequest,IsGuest,IsFirstRequest,IsError,IsApi,IsAjaxRequest,ManagedPackageNamespace,HttpHeaders,NetworkDuration,Name,NumberFailures,NumClicks,OperationType,NumSessions,PageName,Query,RequestType,ReportDescription,ReopenCount,RelatedEntityId,RecordIdDerived,ReadTime,Rank,SrcBytes,SrcDvcId,SrcDvcModelName,SrcIpAddr,SrcNatIpAddr,SessionId,SiteId,SharingPermission,SharingOperation,SharedWithEntityId,UrlOriginal,WaveTimestamp,WaveSessionId,ViewStateSize,VersionIdDerived,VersionId,TriggerType,TriggerName,TriggerId,TransactionType,TotalTime,TabId,StackTrace
2026-06-01T08:15:30.000Z,512,35,,Desktop,Windows,10.0.19045,,200,URI,https://example-org.my.salesforce.com/lightning,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Desktop,,2048,,,,198.51.100.10,true,/lightning/page/home,,,Standard,,,005Dn0000012abcDEF,alex.taylor@example.com,ataylor,,,,,,,TLS 1.2,,,,UI,,sess_a1b2c3d4e5f6,,,,,,15,,,,req_001a,,,,,,,N,,,,,,,,,https://example-org.my.salesforce.com/lightning/page/home,,,,,LightningApp,,00Dn0000000xyzABC,,,,,,,,,,,,GET,,,,,,245,,,Windows,45,12,,28,WiFi,,,,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,125.0.6422.112,Chrome,,Lightning,LightningApp,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,,,,,,,,,,,,false,,false,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,
2026-06-01T08:17:45.000Z,128,20,,,,,,200,RestApi,,Postman/10.15.0,,,950,,,10.0.0.55,,true,,https://example-org.my.salesforce.com/services/data/v58.0/sobjects/Account,,X,,,005Dn0000034defGHI,admin@example.com,sfadmin,,,,,,,TLS 1.3,,,,API,,sess_g7h8i9j0k1l2,,,,,,5,,,Success,req_002b,,,,,,,A,,,,,,,,,,,,,,,,00Dn0000000xyzABC,,1,,,,,query,GET,,,,GET,,,Account,,,180,,,,30,8,,15,,,,,TLS_AES_256_GCM_SHA384,,,,,,,58.0,REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,
2026-06-01T08:22:10.000Z,256,45,,Desktop,macOS,14.5,,200,LightningPageView,,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15,Desktop,,1200,dev_mac01,MacBook Pro,,203.0.113.25,true,,,,Standard,,,005Dn0000056ghiJKL,morgan.lee@example.com,mlee,,,,,,,TLS 1.2,,,,UI,,sess_m3n4o5p6q7r8,,,,,,22,,,,req_003c,,,,,,,N,,,,,,,,,https://example-org.my.salesforce.com/lightning/r/Contact/003Dn000001xyz/view,,Contact,003Dn000001xyz,RECORD,LightningApp,,00Dn0000000xyzABC,,,,,,,,,,,,GET,,,,,310,310,,,macOS,55,14,,32,Ethernet,,,,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,17.5,Safari,,Lightning,LightningApp,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15,,,,,,,,,,,,,false,,,,false,,,,,,,,,,,,,,,,,,,,dev_mac01,MacBook Pro,,,,,,,,,,,,,,,,,,155,,
2026-06-01T08:30:00.000Z,45200,2500,,,,,,201,BulkApi2,,DataLoader/58.0,,,128,,,172.16.0.100,,true,,https://example-org.my.salesforce.com/services/data/v58.0/jobs/ingest,,S,,,005Dn0000078jklMNO,batch.service@example.com,batchsvc,,,,,,,TLS 1.3,,,,API,,sess_s9t0u1v2w3x4,,,,,,10000,10000,,Success,req_004d,,,,,,,B,,,,,,,,,,,,,,,,00Dn0000000xyzABC,,,,,,,ingest,POST,,,,POST,,,Lead,,,5200,,,,2200,900,,1800,,,,,TLS_AES_128_GCM_SHA256,,,,,,,58.0,Bulk,,,,,,batch_750Dn0000001abc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,true,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,,
2026-06-01T08:35:20.000Z,1024,60,,Desktop,Windows,10.0.19045,,200,AuraRequest,https://example-org.my.salesforce.com/lightning/o/Case/list,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Desktop,,3200,,,,198.51.100.10,true,/aura?r=5&aura.Component.reportEvent=1,,,Standard,,,005Dn0000012abcDEF,alex.taylor@example.com,ataylor,,,,,,,TLS 1.2,,,,UI,,sess_a1b2c3d4e5f6,,,,,,30,,,,req_005e,,,,,,,A,,,,,,,,,,,,,,,,00Dn0000000xyzABC,,,,,,,,,,,,POST,,,,,,420,,,Windows,75,20,,48,WiFi,force:listViewManager,,,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,125.0.6422.112,Chrome,,Lightning,LightningApp,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,,,,,,,,,,,,false,,,,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
2026-06-01T08:40:55.000Z,2048,120,,,,,,400,ApexCallout,,,,,512,,,10.0.0.55,,false,,https://api.external-service.example.com/v2/data,,X,,,005Dn0000034defGHI,admin@example.com,sfadmin,,,,,,,TLS 1.3,,,,API,,sess_g7h8i9j0k1l2,,,,,,0,,,Failure,req_006f,,,,,,,A,,,,,,,,,,,,,,,,00Dn0000000xyzABC,,,,,,,pushRecords,POST,,,,POST,,,,,,890,,,,180,45,,95,,,,,TLS_AES_256_GCM_SHA384,320,,,,,,58.0,,,,,,,,,ExternalDataSync,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalloutException,Bad Request: invalid payload format,,,,,,,,,,,,,,,,,,,,false,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,
2026-06-01T08:45:30.000Z,8192,1500,,,,,,200,MetadataApiOperation,,VS Code SFDX Extension/2.15.0,,,15360,,,192.168.1.50,,true,,https://example-org.my.salesforce.com/services/Soap/m/58.0,,Standard,,,005Dn0000090mnoQRS,dev.ops@example.com,devops,,,,,,,TLS 1.2,,,,API,,sess_y5z6a7b8c9d0,,,,,,250,,,Success,req_007g,,,,,,,M,,,,,,,,,,,,,,,,00Dn0000000xyzABC,,,,,,,,POST,,,,POST,,,,,,3200,,,,1400,600,,1100,,,,,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,,,,,58.0,MDAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,true,,,,,,,,deploy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,
2026-06-01T08:50:15.000Z,384,10,,Desktop,macOS,14.5,,200,LightningInteraction,https://example-org.my.salesforce.com/lightning/r/Contact/003Dn000001abcd/view,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) AppleWebKit/605.1.15,Desktop,,640,dev_mac01,MacBook Pro,,203.0.113.25,true,,,,Standard,,,005Dn0000056ghiJKL,morgan.lee@example.com,mlee,,click,,,,,TLS 1.2,,button:save,,UI,,sess_m3n4o5p6q7r8,,,,,,3,,,,req_008h,,,,,,,N,,,,,,,,form:contactEdit,,,Contact,003Dn000001abcd,RECORD,,,00Dn0000000xyzABC,,,,,,,,,,,,POST,,,,,,85,,,macOS,15,4,,8,Ethernet,,,,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,17.5,Safari,,Lightning,LightningApp,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,false,,,,,,,1,,,,,,,,,,,,,dev_mac01,MacBook Pro,,,,,,,,,,,,,,,,,,40,,
2026-06-01T08:55:40.000Z,64,18,,,,,,200,ApiTotalUsage,,Python-requests/2.31.0,,,4096,,,10.0.0.55,,true,,https://example-org.my.salesforce.com/services/data/v58.0/query?q=SELECT+Id+FROM+Account,,X,,,005Dn0000034defGHI,admin@example.com,sfadmin,,,,,,,TLS 1.3,,,,API,,sess_e1f2g3h4i5j6,,,,,,50,,,Success,req_009i,,,,,,,A,,,,,,,,,,,,,,,,00Dn0000000xyzABC,,1,,,,,query,GET,,,,GET,,,Account,,,150,,,,28,7,,12,,,,,TLS_AES_256_GCM_SHA384,,,,,,,58.0,REST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,false,,,,true,,,,,,,,,,,SELECT Id FROM Account LIMIT 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,
2026-06-01T09:00:05.000Z,768,5,,Mobile,Android,14,,500,CSPViolation,,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Mobile,Mobile,,256,dev_pixel8,Pixel 8,,198.51.100.42,false,,https://example-org.my.salesforce.com/lightning/page/home,,Standard,,,005Dn0000011pqrSTU,sam.chen@example.com,schen,,,,,,,TLS 1.3,,,,UI,,sess_k7l8m9n0o1p2,,,,,,0,,,,req_010j,,,,,,,N,,,,,,,,,,,,,,,,00Dn0000000xyzABC,,,,,,,,,,,,POST,,,,,,50,,,Android,8,2,,4,Cellular,,,,TLS_AES_128_GCM_SHA256,,125.0.6422.53,Chrome Mobile,,Lightning,SalesforceMobile,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failure,,,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Mobile,,,,,,,,,,,,true,false,,,true,false,,,,,,,,,,,,,,,,,,,,dev_pixel8,Pixel 8,,,,,,,,,,,,,,,,,,25,,
