TimeGenerated,DeviceVendor,DeviceProduct,DeviceVersion,DeviceAction,ApplicationProtocol,DestinationIP,DestinationHostName,DestinationServiceName,FileType,RequestClientApplication,RequestMethod,SourceIP,SourceUserName,SourceTranslatedAddress,SourceUserPrivileges,DeviceCustomString2,DeviceCustomString3,DeviceCustomString4,DeviceCustomString5,DeviceCustomString6,LogSeverity,Message,RequestURL,ReceivedBytes,SentBytes,RequestContext,Computer,AdditionalExtensions,EventOutcome,Reason,EventProductVersion,EventOriginalSeverity,NetworkApplicationProtocol,EventCount,DstAppName,DstFQDN,Src,HashType,Hash,Dst,DstIpAddr,HttpContentType,EventMessage,HttpUserAgent,HttpRequestMethod,SrcNatIpAddr,SrcUserDepartment,SrcIpAddr,SrcUsername,EventType,UrlCategory,ThreatName,CollectorHostName,Type,_ResourceId,EventStartTime,EventVendor,EventProduct,EventSchema,EventSchemaVersion,EventEndTime,RuleName,devicemodel,DvcAction,EventOriginalResultDetails,EventOutcome,EventResultDetails,ThreatRiskLevel,DvcHostname,SrcBytes,DstBytes,Url,ThreatCategory,HttpReferrer,DstHostname,DstDomain,EventResult,EventSeverity,DstAppType,DstDomainType,SrcUsernameType,Dvc,Hostname,UserAgent,User,HttpStatusCode,IpAddr,Rule
2024-01-15T10:31:20.456Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTPS,185.199.108.153,github.com,GitHub,application/json,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,POST,203.0.113.18,jane.smith@company.com,203.0.113.18,Marketing,Technology/Developer Tools,Malware,Trojan.Generic,trojan.exe,abc123def456,3,Web transaction blocked,https://github.com/api/user/repos,0,234,https://github.com/dashboard,zscaler-proxy,rulelabel=Block_Malware;ruletype=SecurityRule;urlclass=Technology;devicemodel=Iphone;outcome=Blocked;,,Malware detected,5.2.26.18,3,HTTPS,1,GitHub,github.com,203.0.113.18,MD5,abc123def456,github.com,185.199.108.153,application/json,Web transaction blocked,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,POST,203.0.113.18,Marketing,203.0.113.18,jane.smith@company.com,HTTPsession,Technology/Technology/Developer Tools,Trojan.Generic,zscaler-proxy,CEF:0|Zscaler|NSSWeblog|5.2.26.18|Blocked|Web transaction blocked|3|rt=Jan 15 2024 10:31:20 GMT src=203.0.113.18 suser=jane.smith@company.com dst=185.199.108.153 dhost=github.com dpt=443 cs2=Technology/Developer Tools cs3=Malware cs4=Trojan.Generic cs5=trojan.exe cs6=abc123def456 act=Blocked app=HTTPS requestMethod=POST requestURL=https://github.com/api/user/repos requestClientApplication=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 requestContext=https://github.com/dashboard out=234 in=0 fileType=application/json deviceExternalId=zscaler-proxy,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:31:20.456Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:31:20.456Z,SecurityRule/Block_Malware,ZscalerProxy,Deny,Malware detected,403,403,95,zscaler-proxy,234,0,https://https://github.com/api/user/repos,Malware/Trojan.Generic,https://github.com/dashboard,github.com,github.com,Failure,High,SaaS application,FQDN,UPN,zscaler-proxy,github.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,jane.smith@company.com,403,203.0.113.18,SecurityRule/Block_Malware
2024-01-15T10:36:45.901Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTPS,203.0.113.100,suspicious-domain.com,Unknown,application/octet-stream,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET,203.0.113.16,risky.user@company.com,203.0.113.16,Finance,Uncategorized/Unknown,Spyware,Data Exfiltration,spyware.dll,ghi456jkl789,1,Web transaction blocked,https://suspicious-domain.com/download/malware.exe,0,89,None,zscaler-proxy,rulelabel=Block_Spyware;ruletype=SecurityRule;urlclass=Uncategorized;devicemodel=Iphone;outcome=Blocked;,,Spyware detected,5.2.26.18,1,HTTPS,1,Unknown,suspicious-domain.com,203.0.113.16,MD5,ghi456jkl789,suspicious-domain.com,203.0.113.100,application/octet-stream,Web transaction blocked,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET,203.0.113.16,Finance,203.0.113.16,risky.user@company.com,HTTPsession,Uncategorized/Uncategorized/Unknown,Data Exfiltration,zscaler-proxy,CEF:0|Zscaler|NSSWeblog|5.2.26.18|Blocked|Web transaction blocked|1|rt=Jan 15 2024 10:36:45 GMT src=203.0.113.16 suser=risky.user@company.com dst=203.0.113.100 dhost=suspicious-domain.com dpt=443 cs2=Uncategorized/Unknown cs3=Spyware cs4=Data Exfiltration cs5=spyware.dll cs6=ghi456jkl789 act=Blocked app=HTTPS requestMethod=GET requestURL=https://suspicious-domain.com/download/malware.exe requestClientApplication=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 out=89 in=0 fileType=application/octet-stream deviceExternalId=zscaler-proxy,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:36:45.901Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:36:45.901Z,SecurityRule/Block_Spyware,ZscalerProxy,Deny,Spyware detected,403,403,95,zscaler-proxy,89,0,https://https://suspicious-domain.com/download/malware.exe,Spyware/Data Exfiltration,None,suspicious-domain.com,suspicious-domain.com,Failure,High,SaaS application,FQDN,UPN,zscaler-proxy,suspicious-domain.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,risky.user@company.com,403,203.0.113.16,SecurityRule/Block_Spyware
2024-01-15T10:42:15.123Z,Zscaler,NSSWeblog,5.2.26.18,Allowed,HTTPS,172.217.14.110,google.com,Google,text/html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET,192.168.1.102,john.doe@company.com,192.168.1.102,IT,Search Engines/Portals,Clean,None,None,,0,Web transaction allowed,google.com/search,512,1024,https://google.com,zscaler-proxy,rulelabel=Allow_Search;ruletype=AccessRule;urlclass=Search;devicemodel=Iphone;outcome=Blocked;,,Transaction allowed,5.2.26.18,0,HTTPS,1,Google,google.com,192.168.1.102,,,google.com,172.217.14.110,text/html,Web transaction allowed,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET,192.168.1.102,IT,192.168.1.102,john.doe@company.com,HTTPsession,Search Engines/Search Engines/Portals,None,zscaler-proxy,CEF:0|Zscaler|NSSWeblog|5.2.26.18|Allowed|Web transaction allowed|0|rt=Jan 15 2024 10:42:15 GMT src=192.168.1.102 suser=john.doe@company.com dst=172.217.14.110 dhost=google.com dpt=443 cs2=Search Engines/Portals cs3=Clean cs4=None act=Allowed app=HTTPS requestMethod=GET requestURL=google.com/search requestClientApplication=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 requestContext=https://google.com out=1024 in=512 fileType=text/html deviceExternalId=zscaler-proxy,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:42:15.123Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:42:15.123Z,AccessRule/Allow_Search,ZscalerProxy,Allow,Transaction allowed,403,403,0,zscaler-proxy,1024,512,https://google.com/search,Clean/None,https://google.com,google.com,google.com,Success,Informational,SaaS application,FQDN,UPN,zscaler-proxy,google.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,john.doe@company.com,403,192.168.1.102,AccessRule/Allow_Search
2024-01-15T10:47:30.789Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTP,198.51.100.50,malicious-site.net,Unknown,application/executable,curl/7.68.0,GET,203.0.113.11,suspicious.user@company.com,203.0.113.11,Sales,Malicious Sites,Malware,Trojan.Downloader,downloader.exe,def789ghi012,5,Web transaction blocked,malicious-site.net/downloads/payload.exe,0,156,None,zscaler-proxy,rulelabel=Block_Malicious;ruletype=SecurityRule;urlclass=Malicious;devicemodel=Iphone;outcome=Blocked;,,Malicious content detected,5.2.26.18,5,HTTP,1,Unknown,malicious-site.net,203.0.113.11,SHA256,def789ghi012,malicious-site.net,198.51.100.50,application/executable,Web transaction blocked,curl/7.68.0,GET,203.0.113.11,Sales,203.0.113.11,suspicious.user@company.com,HTTPsession,Malicious Sites/Malicious Sites,Trojan.Downloader,zscaler-proxy,CEF:0|Zscaler|NSSWeblog|5.2.26.18|Blocked|Web transaction blocked|5|rt=Jan 15 2024 10:47:30 GMT src=203.0.113.11 suser=suspicious.user@company.com dst=198.51.100.50 dhost=malicious-site.net dpt=80 cs2=Malicious Sites cs3=Malware cs4=Trojan.Downloader cs5=downloader.exe cs6=def789ghi012 act=Blocked app=HTTP requestMethod=GET requestURL=malicious-site.net/downloads/payload.exe requestClientApplication=curl/7.68.0 out=156 in=0 fileType=application/executable deviceExternalId=zscaler-proxy,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:47:30.789Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:47:30.789Z,SecurityRule/Block_Malicious,ZscalerProxy,Deny,Malicious content detected,403,403,95,zscaler-proxy,156,0,http://malicious-site.net/downloads/payload.exe,Malware/Trojan.Downloader,None,malicious-site.net,malicious-site.net,Failure,High,Unknown,FQDN,UPN,zscaler-proxy,malicious-site.net,curl/7.68.0,suspicious.user@company.com,403,203.0.113.11,SecurityRule/Block_Malicious
2024-02-15T10:47:30.789Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTP,198.51.100.51,bad-domain.org,Unknown,application/executable,curl/7.68.0,GET,172.16.0.50,bad.actor@company.com,172.16.0.50,Sales,Malicious Sites,Malware,Trojan.Downloader,downloader.exe,def789ghi013,5,Web transaction blocked,bad-domain.org/malware/virus.exe,0,156,None,zscaler-proxy,rulelabel=Block_Malicious;ruletype=SecurityRule;urlclass=Malicious;devicemodel=Iphone;outcome=Blocked;,,Malicious content detected,5.2.26.18,5,HTTP,1,Unknown,bad-domain.org,172.16.0.50,SHA256,def789ghi013,bad-domain.org,198.51.100.51,application/executable,Web transaction blocked,curl/7.68.0,GET,172.16.0.50,Sales,172.16.0.50,bad.actor@company.com,HTTPsession,Malicious Sites/Malicious Sites,Trojan.Downloader,zscaler-proxy,CEF:0|Zscaler|NSSWeblog|5.2.26.18|Blocked|Web transaction blocked|5|rt=Feb 15 2024 10:47:30 GMT src=172.16.0.50 suser=bad.actor@company.com dst=198.51.100.51 dhost=bad-domain.org dpt=80 cs2=Malicious Sites cs3=Malware cs4=Trojan.Downloader cs5=downloader.exe cs6=def789ghi013 act=Blocked app=HTTP requestMethod=GET requestURL=bad-domain.org/malware/virus.exe requestClientApplication=curl/7.68.0 out=156 in=0 fileType=application/executable deviceExternalId=zscaler-proxy,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:47:30.789Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:47:30.789Z,SecurityRule/Block_Malicious,ZscalerProxy,Deny,Malicious content detected,403,403,95,zscaler-proxy,156,0,http://bad-domain.org/malware/virus.exe,Malware/Trojan.Downloader,None,bad-domain.org,bad-domain.org,Failure,High,Unknown,FQDN,UPN,zscaler-proxy,bad-domain.org,curl/7.68.0,bad.actor@company.com,403,172.16.0.50,SecurityRule/Block_Malicious
2024-01-15T10:50:15.456Z,Zscaler,NSSWeblog,5.2.26.18,Allowed,HTTPS,104.16.249.249,cloudflare.com,Cloudflare,text/html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET,10.1.1.100,normal.user@company.com,10.1.1.100,Engineering,CDN/Cloud Storage,Clean,None,None,,0,Web transaction allowed,cloudflare.com/api/status,1024,512,https://cloudflare.com,zscaler-proxy,rulelabel=Allow_CDN;ruletype=AccessRule;urlclass=CDN;devicemodel=Windows;outcome=Success;outcome=Blocked;,,Transaction allowed,5.2.26.18,0,HTTPS,1,Cloudflare,cloudflare.com,10.1.1.100,,,cloudflare.com,104.16.249.249,text/html,Web transaction allowed,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET,10.1.1.100,Engineering,10.1.1.100,normal.user@company.com,HTTPsession,CDN/CDN/Cloud Storage,None,zscaler-proxy,CommonSecurityLog,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:50:15.456Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:50:15.456Z,AccessRule/Allow_CDN,ZscalerProxy,Allow,Transaction allowed,403,403,0,zscaler-proxy,512,1024,https://cloudflare.com/api/status,Clean/None,https://cloudflare.com,cloudflare.com,cloudflare.com,Success,Informational,SaaS application,FQDN,UPN,zscaler-proxy,cloudflare.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,normal.user@company.com,403,10.1.1.100,AccessRule/Allow_CDN
2024-01-15T10:55:30.789Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTPS,203.0.113.200,phishing-site.com,Unknown,text/html,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,GET,192.168.100.15,victim.user@company.com,192.168.100.15,HR,Phishing/Fraud,Phishing,Credential Harvesting,phish.html,abc999def888,2,Web transaction blocked,phishing-site.com/fake-login,0,67,None,zscaler-proxy,rulelabel=Block_Phishing;ruletype=SecurityRule;urlclass=Phishing;devicemodel=Mac;outcome=Success;outcome=Blocked;,,Phishing attempt detected,5.2.26.18,2,HTTPS,1,Unknown,phishing-site.com,192.168.100.15,MD5,abc999def888,phishing-site.com,203.0.113.200,text/html,Web transaction blocked,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,GET,192.168.100.15,HR,192.168.100.15,victim.user@company.com,HTTPsession,Phishing/Phishing/Fraud,Credential Harvesting,zscaler-proxy,CommonSecurityLog,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:55:30.789Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:55:30.789Z,SecurityRule/Block_Phishing,ZscalerProxy,Deny,Phishing attempt detected,403,403,95,zscaler-proxy,67,0,https://phishing-site.com/fake-login,Phishing/Credential Harvesting,None,phishing-site.com,phishing-site.com,Partial,Medium,Unknown,FQDN,UPN,zscaler-proxy,phishing-site.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15,victim.user@company.com,403,192.168.100.15,SecurityRule/Block_Phishing
2024-01-15T10:47:30.789Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTP,198.51.100.50,malicious-site.net,Unknown,application/executable,curl/7.68.0,GET,203.0.113.18,suspicious.user@company.com,203.0.113.18,Sales,Malicious Sites,Malware,Trojan.Downloader,downloader.exe,def789ghi012,5,Web transaction blocked,malicious-site.net/downloads/payload.exe,0,156,None,zscaler-proxy,rulelabel=Block_Malicious;ruletype=SecurityRule;urlclass=Malicious;devicemodel=Iphone;outcome=Blocked;,,Malicious content detected,5.2.26.18,5,HTTP,1,Unknown,malicious-site.net,203.0.113.18,SHA256,def789ghi012,malicious-site.net,198.51.100.50,application/executable,Web transaction blocked,curl/7.68.0,GET,203.0.113.18,Sales,203.0.113.18,suspicious.user@company.com,HTTPsession,Malicious Sites/Malicious Sites,Trojan.Downloader,zscaler-proxy,CommonSecurityLog,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:47:30.789Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:47:30.789Z,SecurityRule/Block_Malicious,ZscalerProxy,Deny,Malicious content detected,403,403,95,zscaler-proxy,156,0,http://malicious-site.net/downloads/payload.exe,Malware/Trojan.Downloader,None,malicious-site.net,malicious-site.net,Failure,High,Unknown,FQDN,UPN,zscaler-proxy,malicious-site.net,curl/7.68.0,suspicious.user@company.com,403,203.0.113.18,SecurityRule/Block_Malicious
2024-01-15T10:47:30.789Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTP,198.51.100.50,malicious-site.net,Unknown,application/executable,curl/7.68.0,GET,203.0.113.25,suspicious.user@company.com,203.0.113.18,Sales,Malicious Sites,Malware,Trojan.Downloader,downloader.exe,def789ghi012,5,Web transaction blocked,malicious-site.net/downloads/payload.exe,0,156,None,zscaler-proxy,rulelabel=Block_Malicious;ruletype=SecurityRule;urlclass=Malicious;devicemodel=Iphone;outcome=Blocked;,,Malicious content detected,5.2.26.18,5,HTTP,1,Unknown,malicious-site.net,203.0.113.25,SHA256,def789ghi012,malicious-site.net,198.51.100.50,application/executable,Web transaction blocked,curl/7.68.0,GET,203.0.113.25,Sales,203.0.113.25,suspicious.user@company.com,HTTPsession,Malicious Sites/Malicious Sites,Trojan.Downloader,zscaler-proxy,CommonSecurityLog,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:47:30.789Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:47:30.789Z,SecurityRule/Block_Malicious,ZscalerProxy,Deny,Malicious content detected,403,403,95,zscaler-proxy,156,0,http://malicious-site.net/downloads/payload.exe,Malware/Trojan.Downloader,None,malicious-site.net,malicious-site.net,Failure,High,Unknown,FQDN,UPN,zscaler-proxy,malicious-site.net,curl/7.68.0,suspicious.user@company.com,403,203.0.113.25,SecurityRule/Block_Malicious
2024-01-15T10:47:30.789Z,Zscaler,NSSWeblog,5.2.26.18,Blocked,HTTP,198.51.100.50,malicious-site.net,Unknown,application/executable,curl/7.68.0,GET,203.0.113.21,suspicious.user@company.com,203.0.113.18,Sales,Malicious Sites,Malware,Trojan.Downloader,downloader.exe,def789ghi012,5,Web transaction blocked,malicious-site.net/downloads/payload.exe,0,156,None,zscaler-proxy,rulelabel=Block_Malicious;ruletype=SecurityRule;urlclass=Malicious;devicemodel=Iphone;outcome=403;,,Malicious content detected,5.2.26.18,5,HTTP,1,Unknown,malicious-site.net,203.0.113.21,SHA256,def789ghi012,malicious-site.net,198.51.100.50,application/executable,Web transaction blocked,curl/7.68.0,GET,203.0.113.21,Sales,203.0.113.21,suspicious.user@company.com,HTTPsession,Malicious Sites/Malicious Sites,Trojan.Downloader,zscaler-proxy,CommonSecurityLog,/subscriptions/test/resourceGroups/test/providers/Microsoft.OperationalInsights/workspaces/test,2024-01-15T10:47:30.789Z,Zscaler,ZIA Proxy,WebSession,0.2.3,2024-01-15T10:47:30.789Z,SecurityRule/Block_Malicious,ZscalerProxy,Deny,Malicious content detected,403,403,95,zscaler-proxy,156,0,http://malicious-site.net/downloads/payload.exe,Malware/Trojan.Downloader,None,malicious-site.net,malicious-site.net,Failure,High,Unknown,FQDN,UPN,zscaler-proxy,malicious-site.net,curl/7.68.0,suspicious.user@company.com,403,203.0.113.21,SecurityRule/Block_Malicious
