TenantId,TimeGenerated [UTC],Kind,Etag,OwnerDomain,SrcIpAddr,IdApplicationName,IdCustomerId,IdUniqueQualifier,IdTime,NetworkIpAsn,NetworkInfoRegionCode,NetworkInfoSubdivisionCode,ActorEmail,ActorCallerType,ActorProfileId,ActorKey,ActorApplicationInfoOauthClientId,ActorApplicationInfoApplicationName,ActorApplicationInfoImpersonation,ResourceDetails,EventType,EventName,EventParameters,AppName,ApplicationName,ClientType,DeviceId,DeviceType,GroupEmail,NewValue,OldValue,OwnerEmail,EventResourceId,EventResourceName,RuleName,SharedDriveId,TargetDomain,UserAgent,UserEmail,Value,Visibility,Timestamp,BrowserVersion,ChromeOrgUnitId,ContentHash,ContentName,ContentRiskLevel,ContentSize,ContentTransferMethod,ContentType,DeviceName,DevicePlatform,DeviceUser,EventResult,OrgUnitName,ProfileUserName,ScanId,TriggerDestination,TriggerSource,TriggerType,Url,VirtualDeviceId,AccountState,ActorIsCollaboratorAccount,ApiKind,ApplicationEdition,Billable,CalendarId,ClientId,DestinationFolderId,DestinationFolderTitle,DocId,DocTitle,DocType,DstUserUpn,DestUserUpn,DvcGuid,DvcInterfaceGuid,DvcModelName,DvcModelNumber,DvcType,EventEndTime,EventGuest,EventId,EventMessage,EventOriginalMessage,EventProduct,EventResponseStatus,EventStartTime,EventTitle,EventUid,EventVendor,GroupDomain,IosVendorId,IosVendorUID,IsSecondFactor,IsSuspicious,LastSyncAuditDate,LoginChallengeMethod,LoginChallengeStatus,LoginType,ModuleName,NotificationMessageId,NotificationMethod,NotificationType,OldEventTitle,OldVisibility,OrganizerCalendarId,OriginatingAppId,OsProperty,Owner,OwnerIsSharedDrive,OwnerIsTeamDrive,PrimaryEvent,ProcessName,RegisterPrivelege,Resource_Id,RoleName,Scope,ScopeData,SerialNumber,SourceFolderId,SourceFolderTitle,TargetCalendarId,TargetUserDomain,TargetUserName,TeamDriveId,UserAadid,UserAgentOriginal,VisibilityChange,SourceSystem,Type
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/3/2026, 6:52:57.794 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/OgvFHZIcfSbB8NQK1Skqp3poy4w""",,10.0.0.1,login,CusID00abc,-4.32E+18,2026-07-03T18:52:57.7940000Z,[22616],US,US-WA,user000001@test.com,,123456787654321200001,,,,,"[{""id"":""abcd1234ef0001"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000001@test.com""}]",login,login_verification,"{""login_type"":""saml"",""login_challenge_method"":[""saml""],""login_challenge_status"":""passed"",""is_second_factor"":false}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_verification,,Google Workspace Activity Reports,,,,,Google,,,,FALSE,,,"[""saml""]",passed,saml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/3/2026, 5:06:50.376 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/vp5iRS94O-RGkp_xBy4aSf7sb4s""",,10.0.0.2,login,CusID00abc,-3.50E+18,2026-07-03T17:06:50.3760000Z,[7018],US,US-CA,user000001@test.com,,123456787654321200002,,,,,"[{""id"":""abcd1234ef0002"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000002@test.com""}]",login,login_success,"{""login_type"":""reauth"",""login_challenge_method"":[""saml""],""is_suspicious"":false}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_success,,Google Workspace Activity Reports,,,,,Google,,,,,FALSE,,"[""saml""]",,reauth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/3/2026, 5:06:50.376 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/B5rXLK8CcVwoGy4EFSp3pE7F_h0""",,10.0.0.2,login,CusID00abc,1737364758415777104,2026-07-03T17:06:50.3760000Z,[7018],US,US-CA,user000001@test.com,,123456787654321200002,,,,,"[{""id"":""abcd1234ef0002"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000002@test.com""}]",login,login_verification,"{""login_type"":""reauth"",""login_challenge_method"":[""saml""],""login_challenge_status"":""passed"",""is_second_factor"":false}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_verification,,Google Workspace Activity Reports,,,,,Google,,,,FALSE,,,"[""saml""]",passed,reauth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/3/2026, 6:52:57.794 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/ZM5py094TXiBtfeVDe4HXQ9tvQU""",,10.0.0.1,login,CusID00abc,-5.27E+18,2026-07-03T18:52:57.7940000Z,[22616],US,US-WA,user000001@test.com,,123456787654321200001,,,,,"[{""id"":""abcd1234ef0001"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000001@test.com""}]",login,login_success,"{""login_type"":""saml"",""login_challenge_method"":[""saml""],""is_suspicious"":false}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_success,,Google Workspace Activity Reports,,,,,Google,,,,,FALSE,,"[""saml""]",,saml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/4/2026, 2:37:10.906 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/xitN1DcSq3x6R3kWchv64S3JttY""",,fd00::0003,login,CusID00abc,-8.39E+18,2026-07-04T14:37:10.9060000Z,[33650],US,US-WA,user000001@test.com,,123456787654321200003,,,,,"[{""id"":""abcd1234ef0003"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000003@test.com""}]",login,login_success,"{""login_type"":""google_password"",""login_challenge_method"":[""passkey""],""is_suspicious"":false}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_success,,Google Workspace Activity Reports,,,,,Google,,,,,FALSE,,"[""passkey""]",,google_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/4/2026, 2:37:10.906 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/Ta81Z97zae45qNDTIaW2n_p0Vo4""",,fd00::0003,login,CusID00abc,7436969772275517654,2026-07-04T14:37:10.9060000Z,[33650],US,US-WA,user000001@test.com,,123456787654321200003,,,,,"[{""id"":""abcd1234ef0003"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000003@test.com""}]",login,login_verification,"{""login_type"":""google_password"",""login_challenge_method"":[""passkey""],""login_challenge_status"":""passed"",""is_second_factor"":true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_verification,,Google Workspace Activity Reports,,,,,Google,,,,TRUE,,,"[""passkey""]",passed,google_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/4/2026, 2:37:12.687 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/Hb4Q141VamCSUzKJQEQdCBX7AhA""",,fd00::0003,login,CusID00abc,2188842942972637666,2026-07-04T14:37:12.6870000Z,[33650],US,US-WA,user000001@test.com,,123456787654321200003,,,,,"[{""id"":""abcd1234ef0003"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000003@test.com""}]",login,login_success,"{""login_type"":""reauth"",""login_challenge_method"":[""none""],""is_suspicious"":false}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_success,,Google Workspace Activity Reports,,,,,Google,,,,,FALSE,,"[""none""]",,reauth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/5/2026, 2:44:16.206 AM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/K02onwvopHUZzP3hnPqPjJNGTwQ""",,fd00::0004,login,CusID00abc,-4.88E+18,2026-07-05T02:44:16.2060000Z,[14593],US,US-CA,user000001@test.com,,123456787654321200004,,,,,"[{""id"":""abcd1234ef0004"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000004@test.com""}]",login,login_failure,"{""login_type"":""google_password"",""login_challenge_method"":[""none""]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_failure,,Google Workspace Activity Reports,,,,,Google,,,,,,,"[""none""]",,google_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/2/2026, 2:08:25.917 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/Vk6GwByGxm2T2RCQcOm21Pge-uk""",,10.0.0.5,login,CusID00abc,-5.13E+18,2026-07-02T14:08:25.9170000Z,[22616],US,US-WA,user000001@test.com,,123456787654321200005,,,,,"[{""id"":""abcd1234ef0005"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000005@test.com""}]",login,login_verification,"{""login_type"":""google_password"",""login_challenge_method"":[""security_key""],""login_challenge_status"":""passed"",""is_second_factor"":true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_verification,,Google Workspace Activity Reports,,,,,Google,,,,TRUE,,,"[""security_key""]",passed,google_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
123abcd1-12ab-23cd-45ef-1234abcd432a,"7/2/2026, 4:02:01.705 PM",admin#reports#activity,"""3Uy7N2fsLO-UJLJooEizV70OrVTg5GdiS5meIFM6OVQ/LPxloC3HBX2dHkF0KpIkEfuAwPc""",,10.0.0.6,login,CusID00abc,-4.55E+18,2026-07-02T16:02:01.7050000Z,[22616],US,US-WA,user000001@test.com,,123456787654321200003,,,,,"[{""id"":""abcd1234ef0003"",""type"":""USER"",""ownerDetails"":{""ownerType"":""CUSTOMER"",""ownerIdentity"":[{""customerIdentity"":{""id"":""0001abcd""}}]},""title"":""user000003@test.com""}]",login,login_verification,"{""login_type"":""google_password"",""login_challenge_method"":[""passkey""],""login_challenge_status"":""passed"",""is_second_factor"":true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,login_verification,,Google Workspace Activity Reports,,,,,Google,,,,TRUE,,,"[""passkey""]",passed,google_password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GoogleWorkspaceReports
