TimeGenerated [UTC],eventId,eventName,eventType,eventVersion,eventCategory,eventRW,eventSource,serviceName,sourceIpAddress,userAgent,userIdentity,requestId,requestParameters,requestParameterJson,responseElements,additionalEventData,referencedResources,resourceName,resourceType,errorCode,errorMessage,apiVersion,acsRegion,isGlobal,Type
2026-09-01T09:05:00Z,auth-evt-0001,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,,203.0.113.21,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""root-account"", ""principalId"": ""188888888801"", ""accountId"": ""188888888801"", ""userName"": ""admin@example.aliyunid.com"", ""accessKeyId"": """"}",req-a-000001,{},,{},"{""loginType"": ""password""}",{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-02T10:05:00Z,auth-evt-0002,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,,203.0.113.22,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""ram-user"", ""principalId"": ""188888888802"", ""accountId"": ""188888888802"", ""userName"": ""alice@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000002,{},,{},"{""loginType"": ""password""}",{},,,Authentication.Failed,Incorrect password.,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-03T11:05:00Z,auth-evt-0003,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,,203.0.113.23,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""ram-user"", ""principalId"": ""188888888803"", ""accountId"": ""188888888803"", ""userName"": ""bob@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000003,{},,{},"{""loginType"": ""password""}",{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-04T12:05:00Z,auth-evt-0004,Login,ApiCall,1,Management,Insert,cloudsso.aliyuncs.com,CloudSSO,203.0.113.24,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""cloudsso-user"", ""principalId"": ""188888888804"", ""accountId"": ""188888888804"", ""userName"": ""carol@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000004,"{""LoginMethod"": ""saml""}",,{},{},{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-05T13:05:00Z,auth-evt-0005,Login,ApiCall,1,Management,Insert,cloudsso.aliyuncs.com,CloudSSO,203.0.113.25,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""cloudsso-user"", ""principalId"": ""188888888805"", ""accountId"": ""188888888805"", ""userName"": ""dave@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000005,"{""LoginMethod"": ""password""}",,{},{},{},,,AuthenticationFailed.UsernameOrPassword,The username or password is incorrect.,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-06T14:05:00Z,auth-evt-0006,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,,203.0.113.26,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""ram-user"", ""principalId"": ""188888888806"", ""accountId"": ""188888888806"", ""userName"": ""erin@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000006,{},,{},"{""loginType"": ""password""}",{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-07T15:05:00Z,auth-evt-0007,Login,ApiCall,1,Management,Insert,cloudsso.aliyuncs.com,CloudSSO,198.51.100.1,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""cloudsso-user"", ""principalId"": ""188888888807"", ""accountId"": ""188888888807"", ""userName"": ""frank@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000007,"{""LoginMethod"": ""oidc""}",,{},{},{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-01T16:05:00Z,auth-evt-0008,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,,198.51.100.2,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""ram-user"", ""principalId"": ""188888888808"", ""accountId"": ""188888888808"", ""userName"": ""grace@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000008,{},,{},"{""loginType"": ""password""}",{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-02T17:05:00Z,auth-evt-0009,Login,ApiCall,1,Management,Insert,cloudsso.aliyuncs.com,CloudSSO,198.51.100.3,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""cloudsso-user"", ""principalId"": ""188888888809"", ""accountId"": ""188888888809"", ""userName"": ""heidi@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000009,"{""LoginMethod"": ""password""}",,{},{},{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-03T18:05:00Z,auth-evt-0010,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,,198.51.100.4,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""root-account"", ""principalId"": ""188888888810"", ""accountId"": ""188888888810"", ""userName"": ""admin@example.aliyunid.com"", ""accessKeyId"": """"}",req-a-000010,{},,{},"{""loginType"": ""password""}",{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-08T09:15:00Z,auth-evt-0011,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,AasSub,198.51.100.5,Mozilla/5.0 (Windows NT 10.0; Win64; x64),"{""type"": ""assumed-role"", ""principalId"": ""300000000011:svc-user-11"", ""accountId"": ""188888888811"", ""userName"": ""AliyunReservedSSO-Admin:svc-user-11"", ""accessKeyId"": """"}",req-a-000011,{},,{},"{""loginType"": ""password"", ""mfaChecked"": ""true""}",{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
2026-09-09T10:20:00Z,auth-evt-0012,ConsoleSignin,ApiCall,1,Management,Insert,signin.aliyun.com,AasCustomer,198.51.100.6,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),"{""type"": ""ram-user"", ""principalId"": ""188888888812"", ""accountId"": ""188888888812"", ""userName"": ""ivan@ali-corp.onaliyun.com"", ""accessKeyId"": """"}",req-a-000012,{},,{},"{""loginType"": ""password"", ""mfaChecked"": ""false""}",{},,,,,2020-01-01,cn-hangzhou,true,AliCloudActionTrailLogs_CL
