action,"event_type",initiator,metadata,"organization_uuid","TimeGenerated [UTC]","user_email","user_uuid",timestamp,TenantId,Type,"_ResourceId"
"user_login_successful",login,,"{""ip_address"":""0.0.0.0"",""provider"":""business_auth""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","04/03/2025, 10:59:00.000","user@example.com","726163f5-d18e-41cc-8aa4-3fc950835185",1741085940,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"master_validated",lock,,"{""platform"":""webvault""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","04/03/2025, 11:01:32.000","user@example.com","726163f5-d18e-41cc-8aa4-3fc950835185",1741086092,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"password_policy_toggled","global_settings",,"{""password_policy"":{""at_least_one_capital_letter_required"":true,""at_least_one_digit_required"":true,""at_least_one_symbol_required"":true,""enabled"":true,""min_length"":36,""password_expiration_duration_days"":90}}","235e26d1-dfba-4f40-ba63-d83b6210c7de","04/03/2025, 07:00:56.000","user@example.com","726163f5-d18e-41cc-8aa4-3fc950835185",1741071656,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"master_validated",lock,,"{""platform"":""panel""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","04/03/2025, 07:00:32.000","user@example.com","726163f5-d18e-41cc-8aa4-3fc950835185",1741071632,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"user_login_successful",login,,"{""ip_address"":""0.0.0.0"",""provider"":""business_auth""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","04/03/2025, 07:00:23.000","user@example.com","726163f5-d18e-41cc-8aa4-3fc950835185",1741071623,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_viewed","item_access",,"{""item_count"":1,""items"":[{""item_id"":""43d10b30-f5af-11ef-8ecd-cf478c6be690"",""type"":""item""}],""platform"":""extension""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","01/03/2025, 14:41:34.000","akvile.jarmalaviciute+splunkreg2@nordsec.com","e8417cf7-6bf7-4779-a0a3-2f5a0ab7ae0b",1740840094,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"vanta_integration_disabled",integrations,,"[]","235e26d1-dfba-4f40-ba63-d83b6210c7de","27/02/2025, 06:40:25.000","someone@example.com","271391d5-ff71-4adb-947a-19b657a867af",1740638425,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"master_validated",lock,,"{""platform"":""panel""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","27/02/2025, 06:40:18.000","someone@example.com","271391d5-ff71-4adb-947a-19b657a867af",1740638418,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"item_time_limited_share_expired","item_share",system,"{""items"":[{""item_id"":""aaf7f960-f5ad-11ef-8ecd-cf478c6be690"",""type"":""item""}],""groups"":[],""users"":[{""email"":""user-five@example.com"",""uuid"":""84c3e123-81af-49fd-827d-0356e475ef7d""}]}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 09:35:33.000",,,1740735333,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
"organization_consent_given",consents,consents,"{""consented_to_policy"":""share_password_hashes_3rd_party""}","235e26d1-dfba-4f40-ba63-d83b6210c7de","28/02/2025, 12:42:25.000",,,1740746545,"be3c32f1-d8b7-4f73-8e15-9877d1773cd0","NordPassEventLogs_CL",
