TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated,Computer,RawData,"emails_s","enabled_b","installation_installationId_g","releasedBy_roleName_s","role_displayName_s","oldRole_displayName_s","planName_s","planId_s","error_message_s","amount_d","vpnLocation_name_s","account_tenantId_s","account_name_s","account_company_s","installation_installationId_s","oldPlan_planWeight_d","oldPlan_name_s","newPlan_planWeight_d","newPlan_name_s","user_tenantId_s","user_email_s","user_lastName_s","user_firstName_s","policy_name_s","regions_s","group_name_s","networkName_s","applicationName_s","paymentInfo_s","application_name_s","application_type_s","application_endpoint_s","application_alias_cname_s","idpName_s","network_name_s","network_dns_s","geoPoint_accuracy_radius_d","geoPoint_latitude_d","geoPoint_longitude_d","geoPoint_metro_code_d","geoPoint_time_zone_s","addressCountry_s","event_eventName_s","event_tenantId_s","event_originalTenantId_s","event_releasedFrom_tenantId_s","event_releasedBy_email_s","event_ip_s","event_integrationIdentifier_s","event_eventVersion_s","releasedFrom_name_s","releasedFrom_company_s","releasedBy_tenantId_s","releasedBy_lastName_s","releasedBy_firstName_s","integrationName_s","eventName_s","time_s","tenantId_s","originalTenantId_s","releasedFrom_tenantId_s","releasedBy_email_s","ip_s","integrationIdentifier_s","eventVersion_s",Type,"_ResourceId"
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.432Z",,,,null,"6ea4ed89-2e29-4c35-aecf-669518affecc",,,,,,"MAX_SESSION_LIMIT_REACHED",null,,,,,,null,,null,,,,,,,,,,,,,,,,,,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.login.fail",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.433Z",,,,null,,,,,,,,null,,,,,,null,,null,,customer1,"customer1@perimeter81.com",Doe,John,,,,,,,,,,,,,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.member.delete",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.305Z",,,,null,,,,,,,,null,,,,,,null,,null,,customer1,"customer1@perimeter81.com",Doe,John,,,"John's Group",,,,,,,,,,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.group.add.member",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.432Z",,,,null,,,,,,,,null,,,,,,null,,null,,customer1,"customer1@perimeter81.com",Doe,John,,,"John's Group",,,,,,,,,,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.group.delete.member",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.305Z",,,,null,,,,,,,,null,,,,,,null,,null,,,,,,,,,,,,,,,,"LDAP Active Directory",,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.idp.disable",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.305Z",,,,null,,,,,,,,null,,,,,,null,,null,,,,,,,,,France,,,,,,,,,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.network.deploy.fail",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.431Z",,,,null,,,,,,,,null,,,,,,null,,null,,,,,,,,"John's Group",,,,,,,,,,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.group.delete",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.305Z",,,,null,,,,,,,,null,,,,,,null,,null,,,,,,,,,,,,,,,,,France,"fr1.sx.safersoftware.net",null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.network.deploy",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.434Z",,,,null,,,,,,,,null,,,,,,null,,null,,,,,,,"[
  {
    ""name"": ""Europe""
  }
]",,,,,,,,,,France,"fr1.sx.safersoftware.net",null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.network.node.restart",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
"92746b82-1996-41c3-8693-764cecea56c0",RestAPI,,,"2020-05-03T08:30:05.432Z",,,,null,,,,,,,,null,,,,,,50,"Pro Monthly USD",30,"Basic Monthly USD",,,,,,,,,,,,,,,,,,null,null,null,null,,,,,,,,,,,customer1,customer1,customer1,Doe,John,,"api.activity.plan.change",,customer1,customer1,customer1,"customer1@perimeter81.com","127.0.0.1",,"1.0.0","Perimeter81_CL",
