SourceSystem,"TimeGenerated [UTC]","uuid_s","session_uuid","timestamp [UTC]",country,category,"action_type",details,"target_user",client,location,"actor_uuid","actor_details",action,"object_type","object_uuid","aux_info",session,"used_version","vault_uuid","item_uuid",user,"log_source",TenantId,Type,"_ResourceId"
,"11/23/2023, 5:10:29.821 PM",G4BVTMMZHDNCG3HFB33JPGQHGT,,"10/26/2023, 11:14:47.462 AM",,,,,,,"{""country"":""Netherlands"",""region"":""North Holland"",""city"":""Amsterdam"",""latitude"":52.3426,""longitude"":4.8631}",O2FWP7N6XBHSXFV6J6I7MPGPGE,"{""uuid"":""O2FWP7N6XBHSXFV6J6I7MPGPGE"",""name"":""Nedscaper"",""email"":""zvr5j4feyjt5e@nedscaper.com""}",create,invite,R2WZSZVB6NFZ5NL64M6T4P2PA4,"hector.salamanca@nedscaper.com","{""uuid"":""JCMNBI2AD5EDRLHKAHCJTU7ZKI"",""login_time"":""2023-10-26T11:14:13.8945445Z"",""device_uuid"":""og5lnyi523ifwjxlhu4kpatf3u"",""ip"":""178.132.215.33""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",IJ5U3ZPMKQ4OPKPSCIMSHRZD5V,,"10/26/2023, 11:15:55.393 AM",,,,,,,"{""country"":""Netherlands"",""region"":""North Holland"",""city"":""Amsterdam"",""latitude"":52.3426,""longitude"":4.8631}",2C4RSXPRI5BVFOS3TCJFYDZYXY,"{""uuid"":""2C4RSXPRI5BVFOS3TCJFYDZYXY"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@nedscaper.com""}",create,device,tmikosahabjierhqhaapybduj4,,"{""uuid"":""RJUTWTIN7FGDNAA4RDQK3J4IJU"",""login_time"":""2023-10-26T11:15:55.3822129Z"",""device_uuid"":""tmikosahabjierhqhaapybduj4"",""ip"":""178.132.215.33""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",WEW5QD3FMZC4HE26HTFS6B33AQ,,"10/26/2023, 11:15:56.341 AM",,,,,,,"{""country"":""Netherlands"",""region"":""North Holland"",""city"":""Amsterdam"",""latitude"":52.3426,""longitude"":4.8631}",2C4RSXPRI5BVFOS3TCJFYDZYXY,"{""uuid"":""2C4RSXPRI5BVFOS3TCJFYDZYXY"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@nedscaper.com""}",join,user,2C4RSXPRI5BVFOS3TCJFYDZYXY,,"{""uuid"":""RJUTWTIN7FGDNAA4RDQK3J4IJU"",""login_time"":""2023-10-26T11:15:55.3822129Z"",""device_uuid"":""tmikosahabjierhqhaapybduj4"",""ip"":""178.132.215.33""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",56XS7D3D7UZPIZIDXGAQEGXTVH,,"10/26/2023, 11:30:29.935 AM",,,,,,,"{""country"":""Netherlands"",""region"":""North Holland"",""city"":""Amsterdam"",""latitude"":52.3426,""longitude"":4.8631}",O2FWP7N6XBHSXFV6J6I7MPGPGE,"{""uuid"":""O2FWP7N6XBHSXFV6J6I7MPGPGE"",""name"":""Nedscaper"",""email"":""zvr5j4feyjt5e@nedscaper.com""}",join,gm,mewjxg24s7mdhmel2akm73bway,R,"{""uuid"":""L4XBO5TGZFBTFABMEUZAOLD36E"",""login_time"":""2023-10-26T11:26:30.9995547Z"",""device_uuid"":""og5lnyi523ifwjxlhu4kpatf3u"",""ip"":""178.132.215.33""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",5ZVAOZTSCV74E5RZ37RXDLJGHJ,,"10/27/2023, 5:52:11.108 PM",,,,,,,"{""country"":""Netherlands"",""region"":""Utrecht"",""city"":""Amersfoort"",""latitude"":52.1599,""longitude"":5.3954}",2C4RSXPRI5BVFOS3TCJFYDZYXY,"{""uuid"":""2C4RSXPRI5BVFOS3TCJFYDZYXY"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@nedscaper.com""}",patch,items,n36hcpeonwo63gr566l5kqww7u,"0,0,1,0,0","{""uuid"":""YO75RUKTLFA6FDS2S5T7JR7WCE"",""login_time"":""2023-10-27T17:51:13.0282819Z"",""device_uuid"":""tmikosahabjierhqhaapybduj4"",""ip"":""212.120.135.7""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",6UWUVUHXBTJLZRIPXSOYOOYLEU,,"10/27/2023, 5:52:37.994 PM",,,,,,,"{""country"":""Netherlands"",""region"":""Utrecht"",""city"":""Amersfoort"",""latitude"":52.1599,""longitude"":5.3954}",2C4RSXPRI5BVFOS3TCJFYDZYXY,"{""uuid"":""2C4RSXPRI5BVFOS3TCJFYDZYXY"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@nedscaper.com""}",patch,items,n36hcpeonwo63gr566l5kqww7u,"1,0,0,0,0","{""uuid"":""YO75RUKTLFA6FDS2S5T7JR7WCE"",""login_time"":""2023-10-27T17:51:13.0282819Z"",""device_uuid"":""tmikosahabjierhqhaapybduj4"",""ip"":""212.120.135.7""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",5GNU7KW26KQS42L64AH43Y4ZBN,,"10/27/2023, 5:52:55.168 PM",,,,,,,"{""country"":""Netherlands"",""region"":""Utrecht"",""city"":""Amersfoort"",""latitude"":52.1599,""longitude"":5.3954}",2C4RSXPRI5BVFOS3TCJFYDZYXY,"{""uuid"":""2C4RSXPRI5BVFOS3TCJFYDZYXY"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@nedscaper.com""}",patch,items,n36hcpeonwo63gr566l5kqww7u,"1,0,0,0,0","{""uuid"":""YO75RUKTLFA6FDS2S5T7JR7WCE"",""login_time"":""2023-10-27T17:51:13.0282819Z"",""device_uuid"":""tmikosahabjierhqhaapybduj4"",""ip"":""212.120.135.7""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",N5YNP6BS4U3KAQ4PNJ5J5MLHJI,,"10/30/2023, 10:31:24.417 AM",,,,,,,"{""country"":""Netherlands"",""region"":""Utrecht"",""city"":""Amersfoort"",""latitude"":52.1599,""longitude"":5.3954}",2C4RSXPRI5BVFOS3TCJFYDZYXY,"{""uuid"":""2C4RSXPRI5BVFOS3TCJFYDZYXY"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@nedscaper.com""}",create,group,fydw66j5qhmknl6wj6cve2gpma,,"{""uuid"":""3C6IYLX6GJGOHEK6ERP54OKOQU"",""login_time"":""2023-10-30T10:31:02.5787571Z"",""device_uuid"":""tmikosahabjierhqhaapybduj4"",""ip"":""212.120.135.7""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",ZFFA3ZXJK2H7HKWMQ5K575AS6I,,"10/30/2023, 12:19:36.322 PM",,,,,,,"{""country"":""Netherlands"",""region"":""North Holland"",""city"":""Amsterdam"",""latitude"":52.3426,""longitude"":4.8631}",AONGS2F7BFFPNG2LBTFMRH562Q,"{""uuid"":""AONGS2F7BFFPNG2LBTFMRH562Q"",""name"":""John Doe"",""email"":""john.doe@nedscaper.com""}",grant,gva,y4wlam7rxbjxoveghqtvqlzbwq,1,"{""uuid"":""QEKBQG3ANVBYXMHYTY7GNMZOBE"",""login_time"":""2023-10-30T12:19:33.7242882Z"",""device_uuid"":""odcll6tcymp65apommfkpct6ja"",""ip"":""178.132.215.33""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
,"11/23/2023, 5:10:29.821 PM",Q7XM77W5DW6MGI2OMZQIQSO6ZE,,"10/30/2023, 12:19:36.780 PM",,,,,,,"{""country"":""Netherlands"",""region"":""North Holland"",""city"":""Amsterdam"",""latitude"":52.3426,""longitude"":4.8631}",AONGS2F7BFFPNG2LBTFMRH562Q,"{""uuid"":""AONGS2F7BFFPNG2LBTFMRH562Q"",""name"":""John Doe"",""email"":""john.doe@nedscaper.com""}",grant,uva,ocaezek3flcp2llve7zqlkcnyu,15730672,"{""uuid"":""QEKBQG3ANVBYXMHYTY7GNMZOBE"",""login_time"":""2023-10-30T12:19:33.7242882Z"",""device_uuid"":""odcll6tcymp65apommfkpct6ja"",""ip"":""178.132.215.33""}",,,,,auditevents,"53ded43d-1bc4-44b9-94cb-4a818c9f7b94","OnePasswordEventLogs_CL",
