SourceSystem,"TimeGenerated [UTC]","uuid_s","session_uuid","timestamp [UTC]",country,category,"action_type",details,"target_user",client,location,"actor_uuid","actor_details",action,"object_type","object_uuid","object_details","aux_id","aux_uuid","aux_details","aux_info",session,"used_version","vault_uuid","item_uuid",user,"log_source",TenantId,Type,"_ResourceId"
,"3/1/2024, 2:05:02.732 AM",CWDCZLRTOFCTRIK35WCSEC5VEU,4HNNWMTPZRAFJE2YAWRE2HZIR4,"3/1/2024, 2:03:06.092 AM",ZA,success,"credentials_ok",,"{""uuid"":""LB3XERXFAFCBZCENBG4HQSOATA"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@securehats.nl""}","{""app_name"":""1Password for Windows"",""app_version"":""81026039"",""platform_name"":""securehats.nl-24826"",""platform_version"":""Unknown"",""os_name"":""Windows"",""os_version"":""10.0.2009"",""ip_address"":""101.110.109.43""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-33.91,""longitude"":18.4304}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"3/1/2024, 9:25:02.572 AM",OBW423CRV5CIBFGGZYMLWIGAFI,BJU7VFUPHFDX3IAL6MLJWJC7AA,"3/1/2024, 9:23:05.956 AM",ZA,success,"credentials_ok",,"{""uuid"":""XWOPONVJBJB27NOAAJWPRTKIXY"",""name"":""Arthur Shelby"",""email"":""arthur.shelby@securehats.nl""}","{""app_name"":""1Password for Web"",""app_version"":""1693"",""platform_name"":""Brave"",""platform_version"":""120.0.0.0"",""os_name"":""Windows"",""os_version"":""11.0"",""ip_address"":""102.132.249.166""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-33.91,""longitude"":18.4304}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"3/1/2024, 12:45:03.354 PM",2YREACNGMJATPKLZL5XKECYQOE,SE4UWCRXDJCOJM6UHJVICEBDSI,"3/1/2024, 12:40:00.262 PM",ZA,success,"credentials_ok",,"{""uuid"":""XWOPONVJBJB27NOAAJWPRTKIXY"",""name"":""Arthur Shelby"",""email"":""arthur.shelby@securehats.nl""}","{""app_name"":""1Password for Web"",""app_version"":""1694"",""platform_name"":""Brave"",""platform_version"":""120.0.0.0"",""os_name"":""Windows"",""os_version"":""11.0"",""ip_address"":""102.132.249.166""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-33.91,""longitude"":18.4304}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"2/29/2024, 10:05:04.327 PM",EAC5T6R55JCIPO43GU6R7ED32I,6UZYCGQPVRCFVLG25DOWYQCBTA,"2/29/2024, 10:01:43.319 PM",ZA,success,"credentials_ok",,"{""uuid"":""LB3XERXFAFCBZCENBG4HQSOATA"",""name"":""Hector Salamanca"",""email"":""hector.salamanca@securehats.nl""}","{""app_name"":""1Password for Windows"",""app_version"":""81026039"",""platform_name"":""securehats.nl-24826"",""platform_version"":""Unknown"",""os_name"":""Windows"",""os_version"":""10.0.2009"",""ip_address"":""101.110.109.43""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-33.91,""longitude"":18.4304}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"3/1/2024, 12:35:03.660 PM",VSXKCDHI7ZDIRHNMJTPFAFYR2E,62S6WV4J6ZHEHDY4OJB5QI5VWY,"3/1/2024, 12:29:53.238 PM",NL,success,"credentials_ok",,"{""uuid"":""QD3Q2WVSVZFHZMC3O6HY3VSC6Y"",""name"":""Walter White"",""email"":""walter.white@securehats.nl""}","{""app_name"":""1Password for Windows"",""app_version"":""81026039"",""platform_name"":""LAPTOP-1FSV0NBD"",""platform_version"":""Unknown"",""os_name"":""Windows"",""os_version"":""10.0.2009"",""ip_address"":""76.75.244.76""}","{""country"":""NL"",""region"":""Gelderland"",""city"":""'t Harde"",""latitude"":52.4168,""longitude"":5.8754}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"3/1/2024, 12:40:02.491 PM",KH6H3AUVC5BZFKM7AAVOCYGQCI,EDMRF7LSRNBJZF7OHALBA7LSQI,"3/1/2024, 12:36:18.344 PM",ZA,success,"credentials_ok",,"{""uuid"":""DIW4YVXTUFCR5AV2IOD6LYXFPI"",""name"":""Saul Goodman"",""email"":""saul.goodman@securehats.nl""}","{""app_name"":""1Password for Windows"",""app_version"":""81026039"",""platform_name"":""Saul_Work"",""platform_version"":""Unknown"",""os_name"":""Windows"",""os_version"":""10.0.2009"",""ip_address"":""187.175.107.36""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-34.0486,""longitude"":18.4811}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"3/1/2024, 12:40:02.491 PM",YBN2Z4WZVVD6LAJY5AQPJUGUIU,HK5MKJUYWNBRFHONTREUZNFW6Q,"3/1/2024, 12:36:18.655 PM",ZA,success,"credentials_ok",,"{""uuid"":""DIW4YVXTUFCR5AV2IOD6LYXFPI"",""name"":""Saul Goodman"",""email"":""saul.goodman@securehats.nl""}","{""app_name"":""1Password Browser Extension"",""app_version"":""22000002"",""platform_name"":""Chrome"",""platform_version"":""121.0.6167.185"",""os_name"":""Windows"",""os_version"":""11.0"",""ip_address"":""187.175.107.36""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-34.0486,""longitude"":18.4811}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"3/1/2024, 12:40:02.491 PM",OIKIT452I5GO5KPACNEDJK3LEU,5I2QHMPF7ZGBRIHLX3H4TK2OPA,"3/1/2024, 12:36:19.501 PM",ZA,success,"credentials_ok",,"{""uuid"":""DIW4YVXTUFCR5AV2IOD6LYXFPI"",""name"":""Saul Goodman"",""email"":""saul.goodman@securehats.nl""}","{""app_name"":""1Password Browser Extension"",""app_version"":""22000002"",""platform_name"":""Chrome"",""platform_version"":""121.0.6167.185"",""os_name"":""Windows"",""os_version"":""11.0"",""ip_address"":""187.175.107.36""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-34.0486,""longitude"":18.4811}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"2/27/2024, 7:50:02.895 AM",EN4ESFFZU5D55CFS2R3AKWUXYQ,KTTJHPAHXFGE7ANJBJV55ENIUE,"2/27/2024, 7:47:59.669 AM",NL,success,"credentials_ok",,"{""uuid"":""54SFBG7JOJEQRKEY5TQ7JXRFVA"",""name"":""Gus Fring"",""email"":""gus.fring@securehats.nl""}","{""app_name"":""1Password for Windows"",""app_version"":""81026039"",""platform_name"":""LAPTOP-I62R144"",""platform_version"":""Unknown"",""os_name"":""Windows"",""os_version"":""10.0.2009"",""ip_address"":""2a02:a46d:20c8:1:7156:8c34:a30c:24d""}","{""country"":""NL"",""region"":""North Holland"",""city"":""Blaricum"",""latitude"":52.2839,""longitude"":5.2553}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
,"2/27/2024, 8:40:02.522 AM",CM3FUIECRNB23JHQDK3YDCP3JY,MYFMTM6P6RAOXIYFFI5DDJBG2U,"2/27/2024, 8:37:47.516 AM",ZA,success,"credentials_ok",,"{""uuid"":""ULPCRX7GYNHKHBBYJ2FUVNUVRA"",""name"":""Bart Simpson"",""email"":""bart.simpson@securehats.nl""}","{""app_name"":""1Password for Windows"",""app_version"":""81026039"",""platform_name"":""DESKTOP-XBDNION"",""platform_version"":""Unknown"",""os_name"":""Windows"",""os_version"":""10.0.2009"",""ip_address"":""104.232.96.202""}","{""country"":""ZA"",""region"":""Western Cape"",""city"":""Cape Town"",""latitude"":-34.0486,""longitude"":18.4811}",,,,,,,,,,,,,,,,signinattempts,"67c96ccd-6092-48a4-a942-ac81d08a4c51","OnePasswordEventLogs_CL",
