"solution_name","solution_folder","connector_id","connector_title","connector_publisher","connector_file","reason","details"
"Azure Batch Account","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Batch%20Account","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Cognitive Search","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cognitive%20Search","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Data Lake Storage Gen1","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Data%20Lake%20Storage%20Gen1","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure DDoS Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20DDoS%20Protection","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Event Hubs","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Event%20Hubs","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Firewall","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Firewall","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Key Vault","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Key%20Vault","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure kubernetes Service","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20kubernetes%20Service","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Logic Apps","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Logic%20Apps","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Network Security Groups","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Network%20Security%20Groups","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Resource Graph","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph","AzureResourceGraph","Azure Resource Graph","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph/Data Connectors/AzureResourceGraph_DataConnectorDefinition.json","no_table_definitions","Connector definition did not expose any table tokens."
"Azure Service Bus","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Service%20Bus","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure SQL Database solution for sentinel","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20SQL%20Database%20solution%20for%20sentinel","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Storage","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Storage","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Stream Analytics","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Stream%20Analytics","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Azure Web Application Firewall (WAF)","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Web%20Application%20Firewall%20%28WAF%29","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Blackberry CylancePROTECT","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Blackberry%20CylancePROTECT","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"CiscoASA","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CiscoASA","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Common Event Format","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Common%20Event%20Format","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"CustomLogsAma","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CustomLogsAma","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Google Cloud Platform Firewall Logs","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Google%20Cloud%20Platform%20Firewall%20Logs","","","","","missing_solution_metadata","Solution contains connectors but is missing SolutionMetadata.json."
"Microsoft 365","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20365","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
