"TimeGenerated [UTC]","DocumentUrl","SHA512Hash","Id","Timestamp","UserDisplayName","UserLoginName","UserEmail","DocumentProtectionId","Type","Status","Application","Browser","OS","RuleName","RuleUrl","JSONExtra","Sender"
"3/21/2021, 10:38:57.794 PM","https://hsftrms.sharepoint.com/sites/KMTest851/Shared%20Documents/Board%20Agenda.pdf","n/a","47949cb8-ca30-4af9-b905-8b05bf03ae3c","3/21/2021 10:38:56 PM","Leigh Rowland","i:0#.f|membership|l.rowland@hsftrms.onmicrosoft.com","l.rowland@hsftrms.onmicrosoft.com","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Fail","Chrome","Chrome","Windows","","","{""Details"":""NC Protect blocked requested access to /sites/KMTest851/_layouts/15/download.aspx?UniqueId=5c83b4ad-efa3-4df7-b446-7d0e43adfe4a by user i:0#.f|membership|l.rowland@hsftrms.onmicrosoft.com""}","NCProtect"
"3/21/2021, 10:30:12.446 PM","https://hsftrms.sharepoint.com/sites/KMTest851/Shared%20Documents/Allice%20Hollows%20Resume.docx","00000000-0000-0000-0000-000000000000","9a689509-c8d8-44f1-8a36-b21dbfdf25ac","3/21/2021 10:30:12 PM","Leigh Rowland","i:0#.f|membership|l.rowland@hsftrms.onmicrosoft.com","l.rowland@hsftrms.onmicrosoft.com","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","","","{""Details"":""""}","NCProtect"
"3/21/2021, 10:26:52.506 PM","\\sheriff\hrdoc\F5.txt","","1524c20f-7430-4c0f-b173-b3c325dd97b8","3/21/2021 10:26:47 PM","svcncprotect","svcncprotect","","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","","","","NCProtect"
"3/21/2021, 10:21:38.756 AM","\\sheriff\hrdoc\F5.txt","6f62b409-b8dc-45b9-905a-2d5cbb65f78a","6f62b409-b8dc-45b9-905a-2d5cbb65f78a","3/21/2021 10:21:33 AM","svcncprotect","svcncprotect","","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","NC Protect","Chrome","Windows","sr","/_admin/Pages/SettingsPages/Sharing RuleEdit.aspx?id=0","","NCProtect"
"3/21/2021, 10:21:38.075 AM","\\sheriff\hrdoc\F5.txt","","a37916cc-8cb4-483e-a9f5-622c8813dc79","3/21/2021 10:21:34 AM","svcncprotect","svcncprotect","","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","sr","/_admin/Pages/SettingsPages/Sharing RuleEdit.aspx?id=0","","NCProtect"
"3/18/2021, 5:08:11.067 AM","https://sheriff/_admin/Account/Login.aspx","","30648b14-5922-4980-a8ad-efc8a842f643","3/18/2021 5:08:10 AM","Administrator","Administrator","","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","","","{""Details"":""Login Success for User Administrator""}","NCProtect"
"3/18/2021, 5:08:41.756 AM","https://sheriff/_admin/default.aspx","","a83486fc-182e-4fd1-887e-ffac603356ec","3/18/2021 5:08:41 AM","Administrator","Administrator","","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","","","{""Details"":""Logged out Success for User Administrator""}","NCProtect"
"3/18/2021, 11:16:36.117 PM","https://sheriff/_admin/Account/Login.aspx","","236bb41a-0a33-42f3-9bdb-562548d5ed76","3/18/2021 11:16:34 PM","Administrator","Administrator","","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","","","{""Details"":""Login Failed for User Administrator""}","NCProtect"
"3/18/2021, 11:09:04.292 PM","","","c22e5160-cdb0-4339-95b2-05ff2d3bfd58","3/18/2021 11:09:02 PM","Administrator","Administrator","l.rowland@hsftrms.onmicrosoft.com","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","DAR Rule","https://sheriff/_admin/Pages/SettingsPages/DynamicAccessRuleEdit.aspx?itemid=1023","{""New"":""{\r\n  \""Name\"": \""DAR Rule\"",\r\n  \""Description\"": \""\"",\r\n  \""ScopeUrl\"": \""2019\"",\r\n  \""Condition\"": {\r\n    \""Expressions\"": [\r\n      {\r\n        \""Level\"": 0,\r\n        \""Operator\"": \""None\"",\r\n        \""RHSType\"": \""FixedValue\"",\r\n        \""RHSSource\"": \""txt\"",\r\n        \""LHSType\"": \""Column\"",\r\n        \""LHSSource\"": \""File Type\"",\r\n        \""ExpressionOperator\"": \""Equals\""\r\n      }\r\n    ]\r\n  },\r\n  \""RuleAccessAction\"": \""1\"",\r\n  \""IsActive\"": false,\r\n  \""Scope\"": \""Asset\"",\r\n  \""IsDeny\"": false\r\n}"",""Old"":"""",""Site URL"":""""}","NCProtect"
"3/18/2021, 11:09:18.391 PM","","","47827159-646b-48a2-a00f-836a1e09b12c","3/18/2021 11:09:16 PM","Administrator","Administrator","l.rowland@hsftrms.onmicrosoft.com","00000000-0000-0000-0000-000000000000","NCProtectUAL_CL","Success","Chrome","Chrome","Windows","DAR Rule","https://sheriff/_admin/Pages/SettingsPages/DynamicAccessRuleEdit.aspx?itemid=1023","{""New"":""{\r\n  \""Name\"": \""DAR Rule\"",\r\n  \""Description\"": \""Description Added\"",\r\n  \""ScopeUrl\"": \""2019\"",\r\n  \""Condition\"": {\r\n    \""Expressions\"": [\r\n      {\r\n        \""Level\"": 0,\r\n        \""Operator\"": \""None\"",\r\n        \""RHSType\"": \""FixedValue\"",\r\n        \""RHSSource\"": \""txt\"",\r\n        \""LHSType\"": \""Column\"",\r\n        \""LHSSource\"": \""File Type\"",\r\n        \""ExpressionOperator\"": \""Equals\""\r\n      }\r\n    ]\r\n  },\r\n  \""RuleAccessAction\"": \""1\"",\r\n  \""IsActive\"": false,\r\n  \""Scope\"": \""Asset\"",\r\n  \""IsDeny\"": false\r\n}"",""Old"":""{\r\n  \""Name\"": \""DAR Rule\"",\r\n  \""Description\"": \""Description Added\"",\r\n  \""ScopeUrl\"": \""2019\"",\r\n  \""Condition\"": {\r\n    \""Expressions\"": [\r\n      {\r\n        \""Level\"": 0,\r\n        \""Operator\"": \""None\"",\r\n        \""RHSType\"": \""FixedValue\"",\r\n        \""RHSSource\"": \""txt\"",\r\n        \""LHSType\"": \""Column\"",\r\n        \""LHSSource\"": \""File Type\"",\r\n        \""ExpressionOperator\"": \""Equals\""\r\n      }\r\n    ]\r\n  },\r\n  \""RuleAccessAction\"": \""1\"",\r\n  \""IsActive\"": false,\r\n  \""Scope\"": \""Asset\"",\r\n  \""IsDeny\"": false\r\n}"",""Site URL"":""""}","NCProtect"
