TimeGenerated [UTC],id_d,Category,threat_d,certainty_d,triaged_b,detection_type_s,d_type_vname_s,detection_id_d,detection_href_s,account_id_d,account_href_s,href_s,account_uid_s,src_account_s,event_timestamp_t [UTC],ip_s,detail_s,Severity
"3/24/2023, 4:31:14.539 AM",13777,exfiltration,99,89,false,M365 Suspicious Download Activity,M365 Suspicious Download Activity,1068,https://test.portal.vectra.ai/detections/1068?detail_id=98816,200,https://test.portal.vectra.ai/accounts/2,https://test.portal.vectra.ai/accounts/2,O365:ctf_coby_young@demolab.vectra.ai,O365:ctf_coby_young@demolab.vectra.ai,"11/16/2022, 8:49:09.000 AM",127.0.0.1,"[{""directories"": [{""object_count"": 4,""relative_path"": ""_catalogs/masterpage/Forms"",""src_ip"": ""127.0.0.1"",""last_timestamp"": ""2022-11-15T22:06:38Z""}],""user_personal_sharepoint"": ""False"",""reason"": ""This account was seen downloading files which is unusual for this site"",""share"": ""https://demovectra.sharepoint.com/sites/missions/"",""user_agent"": ""NONISV|SharePointPnP|PnPCoreSDK/1.7.3.0"",""operation"": ""FileDownloaded"",""volume"": 4,""first_timestamp"": ""2022-11-15T22:06:37Z"",""last_timestamp"": ""2022-11-15T22:06:38Z""}]",9
"3/24/2023, 4:31:14.539 AM",13778,exfiltration,99,89,false,M365 Suspicious Download Activity,M365 Suspicious Download Activity,1068,https://test.portal.vectra.ai/detections/1068?detail_id=98817,200,https://test.portal.vectra.ai/accounts/2,https://test.portal.vectra.ai/accounts/2,O365:ctf_coby_young@demolab.vectra.ai,O365:ctf_coby_young@demolab.vectra.ai,"11/16/2022, 8:49:09.000 AM",127.0.0.1,"[{""directories"": [{""object_count"": 4,""relative_path"": ""_catalogs/wp/Forms"",""src_ip"": ""127.0.0.1"",""last_timestamp"": ""2022-11-15T22:07:07Z""}],""user_personal_sharepoint"": ""False"",""reason"": ""This account was seen downloading files which is unusual for this site"",""share"": ""https://demovectra.sharepoint.com/sites/missions/"",""user_agent"": ""NONISV|SharePointPnP|PnPCoreSDK/1.7.3.0"",""operation"": ""FileDownloaded"",""volume"": 4,""first_timestamp"": ""2022-11-15T22:07:06Z"",""last_timestamp"": ""2022-11-15T22:07:07Z""}]",9
"3/24/2023, 4:31:14.539 AM",13779,exfiltration,99,89,false,M365 Suspicious Download Activity,M365 Suspicious Download Activity,1068,https://test.portal.vectra.ai/detections/1068?detail_id=98818,200,https://test.portal.vectra.ai/accounts/2,https://test.portal.vectra.ai/accounts/2,O365:ctf_coby_young@demolab.vectra.ai,O365:ctf_coby_young@demolab.vectra.ai,"11/16/2022, 8:49:09.000 AM",127.0.0.1,"[{""directories"": [{""object_count"": 3,""relative_path"": ""_catalogs/MaintenanceLogs/Forms"",""src_ip"": ""127.0.0.1"",""last_timestamp"": ""2022-11-15T22:06:45Z""}],""user_personal_sharepoint"": ""False"",""reason"": ""This account was seen downloading files which is unusual for this site"",""share"": ""https://demovectra.sharepoint.com/sites/missions/"",""user_agent"": ""NONISV|SharePointPnP|PnPCoreSDK/1.7.3.0"",""operation"": ""FileDownloaded"",""volume"": 3,""first_timestamp"": ""2022-11-15T22:06:44Z"",""last_timestamp"": ""2022-11-15T22:06:45Z""}]",9
"3/24/2023, 4:31:14.539 AM",13780,exfiltration,99,89,false,M365 Suspicious Download Activity,M365 Suspicious Download Activity,1068,https://test.portal.vectra.ai/detections/1068?detail_id=98819,200,https://test.portal.vectra.ai/accounts/2,https://test.portal.vectra.ai/accounts/2,O365:ctf_coby_young@demolab.vectra.ai,O365:ctf_coby_young@demolab.vectra.ai,"11/16/2022, 8:49:09.000 AM",127.0.0.1,"[{""directories"": [{""object_count"": 3,""relative_path"": ""_catalogs/users"",""src_ip"": ""127.0.0.1"",""last_timestamp"": ""2022-11-15T22:06:43Z""}],""user_personal_sharepoint"": ""False"",""reason"": ""This account was seen downloading files which is unusual for this site"",""share"": ""https://demovectra.sharepoint.com/sites/missions/"",""user_agent"": ""NONISV|SharePointPnP|PnPCoreSDK/1.7.3.0"",""operation"": ""FileDownloaded"",""volume"": 3,""first_timestamp"": ""2022-11-15T22:06:42Z"",""last_timestamp"": ""2022-11-15T22:06:43Z""}]",9
"3/24/2023, 4:31:14.539 AM",13781,exfiltration,99,89,false,M365 Suspicious Download Activity,M365 Suspicious Download Activity,1068,https://test.portal.vectra.ai/detections/1068?detail_id=98820,200,https://test.portal.vectra.ai/accounts/2,https://test.portal.vectra.ai/accounts/2,O365:ctf_coby_young@demolab.vectra.ai,O365:ctf_coby_young@demolab.vectra.ai,"11/16/2022, 8:49:09.000 AM",127.0.0.1,"[{""directories"": [{""object_count"": 1,""relative_path"": ""_catalogs/MaintenanceLogs"",""src_ip"": ""127.0.0.1"",""last_timestamp"": ""2022-11-15T22:06:44Z""}],""user_personal_sharepoint"": ""False"",""reason"": ""This account was seen downloading files which is unusual for this site"",""share"": ""https://demovectra.sharepoint.com/sites/missions/"",""user_agent"": ""NONISV|SharePointPnP|PnPCoreSDK/1.7.3.0"",""operation"": ""FileDownloaded"",""volume"": 1,""first_timestamp"": ""2022-11-15T22:06:44Z"",""last_timestamp"": ""2022-11-15T22:06:44Z""}]",9
"3/24/2023, 4:31:14.539 AM",13782,exfiltration,99,89,false,M365 Suspicious Download Activity,M365 Suspicious Download Activity,1068,https://test.portal.vectra.ai/detections/1068?detail_id=98821,200,https://test.portal.vectra.ai/accounts/2,https://test.portal.vectra.ai/accounts/2,O365:ctf_coby_young@demolab.vectra.ai,O365:ctf_coby_young@demolab.vectra.ai,"11/16/2022, 8:49:09.000 AM",127.0.0.1,"[{""directories"": [{""object_count"": 1,""relative_path"": ""SitePages"",""src_ip"": ""127.0.0.1"",""last_timestamp"": ""2022-11-15T22:06:27Z""}],""user_personal_sharepoint"": ""False"",""reason"": ""This account was seen downloading files which is unusual for this site"",""share"": ""https://demovectra.sharepoint.com/sites/missions/"",""user_agent"": ""NONISV|SharePointPnP|PnPCoreSDK/1.7.3.0"",""operation"": ""FileDownloaded"",""volume"": 1,""first_timestamp"": ""2022-11-15T22:06:27Z"",""last_timestamp"": ""2022-11-15T22:06:27Z""}]",9
"3/24/2023, 4:31:14.539 AM",13783,lateral_movement,40,60,false,M365 Suspicious Mailbox Rule,M365 Suspicious Mailbox Rule,1069,https://test.portal.vectra.ai/detections/1069?detail_id=98822,250,https://test.portal.vectra.ai/accounts/1,https://test.portal.vectra.ai/accounts/1,O365:rubeus.hagrid@demolab.vectra.ai,O365:rubeus.hagrid@demolab.vectra.ai,"11/16/2022, 9:09:08.000 AM",127.0.0.1,"[{""rule_name"": ""CW3-Mailbox-Rule"",""reasons"": [""Suspicious keyword filters""],""keywords"": [""phish"",""hack"",""suspicious""],""folder_name"": null,""operation"": ""New-InboxRule"",""resolved_parameters"": [{""name"": ""DeleteMessage"",""value"": ""True""},{""name"": ""SubjectOrBodyContainsWords"",""value"": ""security;compromise;infected;report;malware;suspicious;phish;hack""},{""name"": ""ErrorAction"",""value"": ""Stop""},{""name"": ""Mailbox"",""value"": ""jhalpert@demolab.vectra.ai""},{""name"": ""Name"",""value"": ""CW3-Mailbox-Rule""}],""last_timestamp"": ""2022-11-15T21:49:14Z""}]",4
"3/24/2023, 4:31:14.539 AM",13784,lateral_movement,80,70,false,Azure AD Change to Trusted IP Configuration,Azure AD Change to Trusted IP Configuration,1070,https://test.portal.vectra.ai/detections/1070?detail_id=98823,250,https://test.portal.vectra.ai/accounts/1,https://test.portal.vectra.ai/accounts/1,O365:rubeus.hagrid@demolab.vectra.ai,O365:rubeus.hagrid@demolab.vectra.ai,"11/16/2022, 10:49:09.000 AM",,"[{""description"": ""This account was seen making changes to Microsoft 365's trusted IP configuration settings, which can allow conditional access or bypassing of MFA."",""ips_removed"": [null],""ips_added"": [""127.0.0.1/32""],""ips_before_change"": [null],""ips_after_change"": [""127.0.0.1/32""],""operation"": ""Add named location"",""network_type"": ""AddedTrustedLocation"",""first_timestamp"": ""2022-11-15T21:46:16Z"",""last_timestamp"": ""2022-11-15T21:46:16Z""}]",8
"3/24/2023, 4:31:14.539 AM",13785,lateral_movement,80,70,false,Azure AD Change to Trusted IP Configuration,Azure AD Change to Trusted IP Configuration,1007,https://test.portal.vectra.ai/detections/1007?detail_id=98824,39,https://test.portal.vectra.ai/accounts/3,https://test.portal.vectra.ai/accounts/3,O365:att_cwilson74@demolab.vectra.ai,O365:att_cwilson74@demolab.vectra.ai,"11/16/2022, 10:49:09.000 AM",,"[{""description"": ""This account was seen making changes to Microsoft 365's trusted IP configuration settings, which can allow conditional access or bypassing of MFA."",""ips_removed"": [null],""ips_added"": [""127.0.0.1/32""],""ips_before_change"": [null],""ips_after_change"": [""127.0.0.1/32""],""operation"": ""Add named location"",""network_type"": ""AddedTrustedLocation"",""first_timestamp"": ""2022-11-15T20:56:58Z"",""last_timestamp"": ""2022-11-15T20:56:58Z""}]",8
"3/24/2023, 4:31:14.539 AM",13788,exfiltration,50,50,false,M365 Suspicious eDiscovery Exfil,M365 Suspicious eDiscovery Exfil,1045,https://test.portal.vectra.ai/detections/1045?detail_id=98827,87,https://test.portal.vectra.ai/accounts/10,https://test.portal.vectra.ai/accounts/10,O365:mscott@demolab.vectra.ai,O365:mscott@demolab.vectra.ai,"11/17/2022, 7:12:08.000 AM",,"[{""parameters"": [{""data"": [{""name"": ""Cmdlet"",""value"": ""New-ComplianceSearchAction""},{""name"": ""CmdletOptions"",""value"": ""-SharePointArchiveFormat \""IndividualMessage\"" -EnableDedupe \""True\"" -Format \""FxStream\"" -Scope \""BothIndexedAndUnindexedItems\"" -IncludeSharePointDocumentVersions \""True\"" -Export \""True\"" -ErrorAction \""Stop\"" -SearchName (\""testing-e-discovery-custom_search\"") -ExchangeArchiveFormat \""PerUserPst\""""}],""timestamp"": ""2022-11-17T07:01:46Z""}],""command_arguments"": [{""data"": ""-SharePointArchiveFormat \""IndividualMessage\"" -EnableDedupe \""True\"" -Format \""FxStream\"" -Scope \""BothIndexedAndUnindexedItems\"" -IncludeSharePointDocumentVersions \""True\"" -Export \""True\"" -ErrorAction \""Stop\"" -SearchName (\""testing-e-discovery-custom_search\"") -ExchangeArchiveFormat \""PerUserPst\"""",""timestamp"": ""2022-11-17T07:01:46Z""}],""operation"": ""SearchExported"",""command"": ""New-ComplianceSearchAction"",""exchange_locations"": ""Include:[mscott@demolab.vectra.ai,chris-kp@demolab.vectra.ai,marcher@demovectra.onmicrosoft.com,jhalpert@demolab.vectra.ai,tbilen@demolab.vectra.ai,jgreer@demovectra.onmicrosoft.com,cfiggis@demovectra.onmicrosoft.com,gcardiet@demolab.vectra.ai]"",""query"": ""Legal or pass* or secret or CEO or credentials or token or password"",""last_timestamp"": ""2022-11-17T07:01:46Z""}]",5
