TimeGenerated,system_token_s,threat_detail_s,account_id_g,severity_name_s,event_id_g,threat_name_s,threat_uuid_g,threat_vector_s,device_time_t,device_id_g,device_model_s,device_jailbroken_b,zdevice_id_g,detection_app_instance_id_g,detection_app_version_s,device_os_s,device_os_version_s,device_owner_id_g,device_owner_email_s,device_owner_first_name_s,device_owner_last_name_s,device_ip_s,device_mac_s,gateway_ip_s,gateway_mac_s,base_station_s,attacker_ip_s,attacker_mac_s,attacker_bssid_s,attacker_ssid_s,network_s,network_bssid_s,network_interface_s,stagefright_vulnerability_report_s,jailbreak_reasons_s,process_s,sideloaded_app_developer_s,sideloaded_app_name_s,sideloaded_app_package_s,event_s,file_name_s,file_hash_g,file_path_s,suspected_url_s,malware_list_s,package_name_s,malware_family_s,installer_source_s,action_triggered_s,profile_name_s,profile_type_s,profile_identifier_s,subnet_mask_s,network_encryption_s,external_ip_s,certificate_s
2020-02-10T20:16:42.971Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=55f24545-639e-4403-ba3a-cce2ae44641d,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,55f24545-639e-4403-ba3a-cce2ae44641d,STAGEFRIGHT_VULNERABLE,fa4fdc3f-b2cf-4c01-a8ed-beb1aad4f6da,Device,2020-02-10T20:16:42.379Z,6686dfd8-c1b1-4845-a940-9b32d4bd08f3,,false,051163e2-f1c7-4d46-950e-c4481335366d,d4e3465f-5127-4607-8717-96687ce57067,4.10.0,android,6.5.2,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.253,46:b8:ac:9e:50:59,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":260,""psc"":510,""type"":""WCDMA"",""cid"":124989444,""mcc"":310,""lac"":45991}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,"{""CVE-2015-3828"":false,""CVE-2015-3827"":true,""CVE-2015-3829"":true,""CVE-2015-6575-2"":true,""CVE-2015-6602"":true,""CVE-2015-1538"":true,""CVE-2015-6575-3"":true,""CVE-2015-3876"":false,""CVE-2015-6575-1"":true,""CVE-2015-3824"":true,""CVE-2015-3864"":true}",,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:18:49.796Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=1f370e1c-31b7-4f3c-b20f-c7ab690eb6ff,ec1200dc-009d-406c-903c-1e2f16fda553,ELEVATED,1f370e1c-31b7-4f3c-b20f-c7ab690eb6ff,PASSCODE_NOT_ENABLED,70f7e285-a9e4-449b-8d4e-4cdb34b57b06,Device,2020-02-10T20:18:49.365Z,21f322e8-0fd6-4328-96d2-f36063a8b455,,false,2ffd2688-d418-457d-898d-34b6186bcd31,27495d77-c8e3-4e85-9606-8b4e8f90525d,4.10.0,ios,13.3.1,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.206,12:77:8c:92:fa:c0,192.168.12.1,08:5b:0e:e6:ce:71,,,,,,AUTOMATION,e8:fc:af:f6:a5:8d,en0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:16:42.001Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=232bd2a8-00e4-46fa-adf3-08ead23c3ba5,ec1200dc-009d-406c-903c-1e2f16fda553,LOW,232bd2a8-00e4-46fa-adf3-08ead23c3ba5,ROGUE_ACCESS_POINT_NEARBY,a86b7223-9ad7-47cd-8042-dc02d52a94e2,Network,2020-02-10T20:16:41.537Z,6686dfd8-c1b1-4845-a940-9b32d4bd08f3,,false,051163e2-f1c7-4d46-950e-c4481335366d,d4e3465f-5127-4607-8717-96687ce57067,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.253,46:b8:ac:9e:50:59,192.168.0.1,00:00:00:00:00:00,"{""mnc"":260,""psc"":510,""type"":""WCDMA"",""cid"":124989444,""mcc"":310,""lac"":45991}",,,00:c0:ca:8f:d6:31,85GLG85IXZHP,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,Riskware,,,,,,,,,
2020-02-10T20:05:30.404Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=a00329b7-c16d-44d5-b451-58e4495b6e35,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,a00329b7-c16d-44d5-b451-58e4495b6e35,DEVICE_ROOTED,18e539e9-170f-4341-8802-85926b1cad4b,Device,2020-02-10T20:05:29.92Z,9a4d43d0-1102-48a8-aa3f-b44eb9a1f477,,false,3ead2696-9973-422a-934b-8bf94d790e94,292133a8-f1a1-432d-8de0-7bae83b2ce37,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.125,e8:8f:18:e3:07:a6,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":410,""psc"":137,""type"":""WCDMA"",""cid"":106061950,""mcc"":310,""lac"":52664}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,"[ ""Found SU binary in /system/xbin/su"" ]",,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:12:41.715Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=a6731cfc-aec0-4151-b837-cea4d01979a4,ec1200dc-009d-406c-903c-1e2f16fda553,LOW,a6731cfc-aec0-4151-b837-cea4d01979a4,ARP_SCAN,031d636b-32a0-4b76-8e18-deb21047bdac,Network,2020-02-10T20:12:41.46Z,9296aa36-02dd-4dcc-9d86-2f2fda021c2f,,false,104e8333-0728-4479-b6f8-73db018f5f7f,bf13ca78-71b9-466f-8aa1-a10415eb08fa,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.129,b4:fa:e7:3a:34:4e,192.168.0.1,6c:19:8f:f4:42:b2,{},192.168.0.106,00:c0:ca:aa:bb:cc,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:23:46.104Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=b2db16b8-4eab-476a-94f2-6d480af8f6e5,ec1200dc-009d-406c-903c-1e2f16fda553,ELEVATED,b2db16b8-4eab-476a-94f2-6d480af8f6e5,SUSPICIOUS_PROFILE,6dd0f2e5-7e57-4ce2-ab0b-6f06fb723c68,Malware,2020-02-10T20:23:46.012Z,80571980-165e-49c6-a556-71efe0196f77,,false,61208ec1-0ac0-4d16-b707-758903acbfed,f78642d1-3b85-4813-81b2-6522e02f323f,4.10.0,ios,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.311,78:1a:bc:91:62:34,192.168.12.1,08:5b:0e:e6:ce:71,,,,,,AUTOMATION,e8:fc:af:f6:a5:8d,en0,,,,,,,,,,,,,,,,Alert User,Free Movies,Configuration,CP.C2ED99D9-90CC-4A86-9646-E8F8E5C33912,,,,
2020-02-10T20:14:26.697Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=a7351c4f-05fd-4861-9207-9a72d9f939c7,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,a7351c4f-05fd-4861-9207-9a72d9f939c7,FILES_SYSTEM_CHANGED,45ae1a08-f2bb-4e61-8149-0e84062a76c6,Device,2020-02-10T20:14:26.435Z,06c87721-1aa7-485c-9271-0fc5d430bdc8,,false,f0596ed1-185e-4af9-ad0d-636178e1220c,bb4397eb-edd3-4626-aa27-25d2a8917acc,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.335,9e:7e:2d:d0:03:b2,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":260,""psc"":510,""type"":""WCDMA"",""cid"":124989444,""mcc"":310,""lac"":45991}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,File system mounted RW,,,/system/,,,,Trojan,,,,,,,,,
2020-02-10T19:14:14.661Z,,https://feature5-console.zdevzoo.com/event/details?id=3793680e-0eb0-475d-96ac-fb31fe72d9e9,9c238f42-6ddc-4677-b22b-6547db6cd6f9,ELEVATED,3793680e-0eb0-475d-96ac-fb31fe72d9e9,SIDELOADED_APP,64a8fb3a-1494-4425-8ef9-f991ada38c72,Device,2020-02-10T19:14:13.281Z,d991d5e2-7183-407c-a0f8-ac88e5bb0ff2,,false,398a2577-b4b7-495c-862e-59b2ed2b79ca,453cd7ea-78ac-468b-a0c8-3caa4b3045e6,4.10.0,android,,,,,,192.168.1.109,4a:83:68:0d:ac:f6,192.168.0.1,6c:19:8f:f4:42:b2,"{""mnc"":410,""psc"":137,""type"":""WCDMA"",""cid"":106061950,""mcc"":310,""lac"":52664}",,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,"C=US, O=Android, CN=Android Debug",test,ziap.zimperium.com.ziaptestdemo.test,,,,,,,,,,,,,,,,,
2020-02-10T20:16:41.969Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=3ab4f4fd-2525-415c-8009-2251ead4ef37,ec1200dc-009d-406c-903c-1e2f16fda553,CRITICAL,3ab4f4fd-2525-415c-8009-2251ead4ef37,ROGUE_ACCESS_POINT,8f0e0dfa-a892-4514-9cb8-b41a5b72a1b3,Network,2020-02-10T20:16:41.368Z,6686dfd8-c1b1-4845-a940-9b32d4bd08f3,,false,051163e2-f1c7-4d46-950e-c4481335366d,d4e3465f-5127-4607-8717-96687ce57067,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.253,46:b8:ac:9e:50:59,192.168.43.1,00:c0:ca:aa:bb:cc,"{""mnc"":260,""psc"":251,""type"":""WCDMA"",""cid"":124989446,""mcc"":310,""lac"":45991}",,,00:c0:ca:aa:bb:cc,"""Planet""",AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10T20:16:42.25Z,zipsemm5,https://feature5-console.zdevzoo.com/event/details?id=df24d38b-4d21-40ce-b598-f964dce05ff2,ec1200dc-009d-406c-903c-1e2f16fda553,ELEVATED,df24d38b-4d21-40ce-b598-f964dce05ff2,MALICIOUS_WEBSITE_OPENED,d1d81947-481f-4d44-8775-6e24b7992377,Device,2020-02-10T20:16:42.066Z,6686dfd8-c1b1-4845-a940-9b32d4bd08f3,,false,051163e2-f1c7-4d46-950e-c4481335366d,d4e3465f-5127-4607-8717-96687ce57067,4.10.0,android,,76ecd7ad-e86e-48b1-86eb-807c29ceda97,zipsemm5-gdpr-user@zimperium.com,anonymous,user,192.168.1.253,46:b8:ac:9e:50:59,192.168.0.1,6c:19:8f:f4:42:b2,{},,,,,AUTOMATION,e8:fc:af:f6:a5:8d,wlan0,,,,,,,,,,,http://www.scbusinc.com/yahoo/d,,,,,",Alert User",,,,,,,
