TenantId,SourceSystem,TimeGenerated,RawData,"BuildNumber_s","Manufacturer_s","DeviceId_d","DeviceUDID_g","DeviceOS_s","CompanyId_d","DevicePlatform_s","LastReported_t","LocationID_d","CompanyName_s","UserEmail_s","IsDeleted_d","ThreatLevel_s","ThreatScore_d","AddedDate_t","AgentVersion_s",Type
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:49:24.967Z",,,,12075,"f2a1bd4c-188f-4289-8a9b-c41e5177134d","13.5.1",73,Apple,"2020-09-30T09:49:24.436Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:49:21.603Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:49:40.261Z",,,,12076,"2f314c62-5454-4591-ada1-fc711c84bcbf","13.5.1",73,Apple,"2020-09-30T09:49:39.823Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:49:37.083Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:49:54.993Z",,,,12077,"bf7ff74c-692a-4f56-9a01-c01bf788640a","13.5.1",73,Apple,"2020-09-30T09:49:54.428Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:49:51.277Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:49:50.28Z",,,,12057,"292da4fc-22a7-449f-b64f-dcb7fd15e11e","13.5.1",73,Apple,"2020-09-30T09:45:01.315Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:44:58.773Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:50:24.922Z",,,,12079,"d97c0444-3732-42ab-8f6c-136b2c8199d5","13.5.1",73,Apple,"2020-09-30T09:50:24.665Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:50:21.78Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:50:09.82Z",,,,12078,"12577a84-11b1-4df7-bac4-da6ebfbe666f","13.5.1",73,Apple,"2020-09-30T09:50:09.106Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:50:06.03Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:50:41.289Z",,,,12080,"df9b68f9-5688-4064-9149-18a3fe39a4f8","13.5.1",73,Apple,"2020-09-30T09:50:40.454Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:50:37.057Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:50:47.581Z",,,,12060,"3d2915e5-f450-45d1-8d82-fa95fd7ccbbf","13.5.1",73,Apple,"2020-09-30T09:45:40.832Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:45:38.37Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:50:53.498Z",,,,12058,"9e17634b-9c81-4031-8aa6-7948b1bdb6ef","13.5.1",73,Apple,"2020-09-30T09:45:15.086Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:45:12.137Z","2.28.4","BetterMTDDeviceLog_CL"
"84f2288e-c46b-4702-a877-3db4a87a3f19",RestAPI,"2020-09-30T09:50:57.753Z",,,,12059,"37b6d182-821d-42ba-a950-b969228d20a3","13.5.1",73,Apple,"2020-09-30T09:45:27.578Z",0,"demo-tenant","sample@email.com",0,Medium,53,"2020-09-30T09:45:25.257Z","2.28.4","BetterMTDDeviceLog_CL"
