TenantId,SourceRecordId,TimeGenerated [UTC],TimeProcessed [UTC],ActivityType,ActionType,UserName,UserPrincipalName,EventSource,SourceIPAddress,SourceIPLocation,SourceDevice,DestinationIPAddress,DestinationIPLocation,DestinationDevice,EventVendor,EventProductVersion,ActorName,ActorPrincipalName,TargetName,TargetPrincipalName,Device,UsersInsights,DevicesInsights,ActivityInsights,SourceSystem,NativeTableName,InvestigationPriority,Type,_ResourceId
16b57a29-661a-855a-1866-22d1b0a7179d,693c9590-3811-11ee-8474-000d3a0b500f,"8/11/2023, 6:36:04.536 AM","8/11/2023, 6:37:43.499 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x2360"",""NewProcessName"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""Process"":""powershell.exe"",""ParentProcessName"":""C:\\Windows\\System32\\cmd.exe"",""ProcessId"":""0x26b0"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,6ddb1ad6-3811-11ee-8474-000d3a0b562f,"8/11/2023, 6:36:15.648 AM","8/11/2023, 6:37:45.337 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x2d74"",""NewProcessName"":""C:\\Windows\\System32\\conhost.exe"",""Process"":""conhost.exe"",""ParentProcessName"":""C:\\Windows\\System32\\winrshost.exe"",""ProcessId"":""0x43e8"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,78a19364-3811-11ee-8472-000d3a0b599c,"8/11/2023, 6:36:53.437 AM","8/11/2023, 6:37:43.499 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x17ec"",""NewProcessName"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""Process"":""powershell.exe"",""ParentProcessName"":""C:\\Windows\\System32\\cmd.exe"",""ProcessId"":""0x3250"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,6ddb1adf-3811-11ee-8474-000d3a0b562f,"8/11/2023, 6:36:15.648 AM","8/11/2023, 6:37:45.338 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x2cc"",""NewProcessName"":""C:\\Windows\\System32\\cmd.exe"",""Process"":""cmd.exe"",""ParentProcessName"":""C:\\Windows\\System32\\winrshost.exe"",""ProcessId"":""0x1b94"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,6ddb1aeb-3811-11ee-8474-000d3a0b562f,"8/11/2023, 6:36:15.686 AM","8/11/2023, 6:37:45.338 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x21b4"",""NewProcessName"":""C:\\Windows\\System32\\cmd.exe"",""Process"":""cmd.exe"",""ParentProcessName"":""C:\\Windows\\System32\\winrshost.exe"",""ProcessId"":""0x43e8"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,6ddb1ab7-3811-11ee-8474-000d3a0b562f,"8/11/2023, 6:36:15.605 AM","8/11/2023, 6:37:45.336 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x1148"",""NewProcessName"":""C:\\Windows\\System32\\conhost.exe"",""Process"":""conhost.exe"",""ParentProcessName"":""C:\\Windows\\System32\\winrshost.exe"",""ProcessId"":""0x1b94"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,6a6b0415-3811-11ee-8474-000d3a0b587a,"8/11/2023, 6:36:31.460 AM","8/11/2023, 6:37:45.216 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x268c"",""NewProcessName"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""Process"":""powershell.exe"",""ParentProcessName"":""C:\\Windows\\System32\\cmd.exe"",""ProcessId"":""0x2fe0"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,85e32170-3811-11ee-8474-000d3a0b5640,"8/11/2023, 6:37:15.779 AM","8/11/2023, 6:37:45.340 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x808"",""NewProcessName"":""C:\\Windows\\System32\\conhost.exe"",""Process"":""conhost.exe"",""ParentProcessName"":""C:\\Windows\\System32\\winrshost.exe"",""ProcessId"":""0x2470"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,825d67d1-3811-11ee-8474-000d3a0b57dd,"8/11/2023, 6:37:12.075 AM","8/11/2023, 6:37:45.217 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x42a8"",""NewProcessName"":""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""Process"":""powershell.exe"",""ParentProcessName"":""C:\\Windows\\System32\\cmd.exe"",""ProcessId"":""0x2f30"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
16b57a29-661a-855a-1866-22d1b0a7179d,74d2a92a-3811-11ee-8474-000d3a0b59dd,"8/11/2023, 6:36:40.719 AM","8/11/2023, 6:37:46.099 AM",ProcessTracking,Process Creation,test,test@test.com,SecurityEvent,,,devicename01,,,,,,,,,,,"{""OnPremisesSID"":""S-1-5-21-2680824871-1255999119-832436803-962075""}","{""IsLocalAdmin"":""True""}","{""MandatoryLabel"":""S-1-16-12288"",""NewProcessId"":""0x18e4"",""NewProcessName"":""C:\\Windows\\System32\\cmd.exe"",""Process"":""cmd.exe"",""ParentProcessName"":""C:\\Windows\\System32\\winrshost.exe"",""ProcessId"":""0x2814"",""LastTimeUserPerformedAction"":""08/11/2023 00:00:00"",""UncommonHighVolumeOfActions"":""False""}",,,0,BehaviorAnalytics,
