TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"id_s","email_s","source_s","data_breach_id_d","data_breach_name_s","data_breach_url_s","data_classes_s","discovered_at_t [UTC]","query_s",Type,"_ResourceId"
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/18/2026, 9:08:52.705 AM",,,"Pw6fn5wBWSspDyF_CQyN","test4@crestdata-and-cyjax-test-domain.com",Bullrush,2788,Bullrush,"http://api.cymon.co/data-leak/breach/2788","[""Full names"",""Addresses"",""Email addresses"",""Date of birth""]","2/27/2026, 3:02:05.000 PM","test4@crestdata-and-cyjax-test-domain.com","CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/18/2026, 9:08:52.705 AM",,,HeLwn5wBY3AXifrkK5mq,"test4@crestdata-and-cyjax-test-domain.com",SoundCloud,2787,SoundCloud,"http://api.cymon.co/data-leak/breach/2787","[""Full names"",""Usernames"",""Email addresses"",""Date of birth""]","2/27/2026, 4:30:43.000 PM","test4@crestdata-and-cyjax-test-domain.com","CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,HeLwn5wBY3AXifrkK5mq,"test4@crestdata-and-cyjax-test-domain.com",SoundCloud,2787,SoundCloud,"http://api.cymon.co/data-leak/breach/2787","[""Full names"",""Usernames"",""Email addresses"",""Date of birth""]","2/27/2026, 4:30:43.000 PM",crestdata,"CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,"5BLwn5wBWSspDyF_Bajn","test2@crestdata-and-cyjax-test-domain.com",SoundCloud,2787,SoundCloud,"http://api.cymon.co/data-leak/breach/2787","[""Full names"",""Usernames"",""Email addresses"",""Date of birth""]","2/27/2026, 4:30:33.000 PM",crestdata,"CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,"Pg6fn5wBWSspDyF_CQyN","test3@crestdata-and-cyjax-test-domain.com",Bullrush,2788,Bullrush,"http://api.cymon.co/data-leak/breach/2788","[""Full names"",""Addresses"",""Email addresses"",""Date of birth""]","2/27/2026, 3:02:05.000 PM",crestdata,"CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,"0BLwn5wBWSspDyF_A6fg","test3@crestdata-and-cyjax-test-domain.com",SoundCloud,2787,SoundCloud,"http://api.cymon.co/data-leak/breach/2787","[""Full names"",""Usernames"",""Email addresses"",""Date of birth""]","2/27/2026, 4:30:32.000 PM",crestdata,"CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,"Pw6fn5wBWSspDyF_CQyN","test4@crestdata-and-cyjax-test-domain.com",Bullrush,2788,Bullrush,"http://api.cymon.co/data-leak/breach/2788","[""Full names"",""Addresses"",""Email addresses"",""Date of birth""]","2/27/2026, 3:02:05.000 PM",crestdata,"CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,"qxLvn5wBWSspDyF_iznZ","test5@crestdata-and-cyjax-test-domain.com",SoundCloud,2787,SoundCloud,"http://api.cymon.co/data-leak/breach/2787","[""Full names"",""Usernames"",""Email addresses"",""Date of birth""]","2/27/2026, 4:30:02.000 PM",crestdata,"CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,"QA6fn5wBWSspDyF_CQyN","test1@crestdata-and-cyjax-test-domain.com",Bullrush,2788,Bullrush,"http://api.cymon.co/data-leak/breach/2788","[""Full names"",""Addresses"",""Email addresses"",""Date of birth""]","2/27/2026, 3:02:05.000 PM",crestdata,"CyjaxDataBreaches_CL",
"7226049f-4b4d-4f70-8ca8-b9228e98e5a0",RestAPI,,,"3/16/2026, 1:31:13.441 PM",,,"PA6fn5wBWSspDyF_CQyN","test5@crestdata-and-cyjax-test-domain.com",Bullrush,2788,Bullrush,"http://api.cymon.co/data-leak/breach/2788","[""Full names"",""Addresses"",""Email addresses"",""Date of birth""]","2/27/2026, 3:02:05.000 PM",crestdata,"CyjaxDataBreaches_CL",
