TimeGenerated [UTC],access_method,app,app_session_id,appcategory,browser,browser_session_id,browser_version,bypass_reason,bypass_traffic,category,cci,ccl,client_bytes,conn_duration,conn_endtime,conn_starttime,connection_id,CononicalName,count_i,device,domain,dst_country,dst_geoip_src,dst_latitude,dst_location,dst_longitude,dst_region,dst_timezone,dst_zipcode,dsthost,dstip,dstport,dynamic_classification,forward_to_proxy_profile,fromlogs,hostname,http_transaction_count,log_file_name,netskope_pop,network,numbytes,org,organization_unit,os,os_version,page,policy,protocol,req_cnt,request_id,resp_cnt,resp_content_len,resp_content_type,sAMAccountName,serial,server_bytes,sessionid,severity,sfwder,site,src_country,src_geoip_src,src_latitude,src_location,src_longitude,src_region,src_time,src_timezone,src_zipcode,srcip,ssl_decrypt_policy,suppression_end_time,suppression_start_time,timestamp,traffic_type,transaction_id,type_s,ur_normalized,url,user,user_generated,useragent,userip,userkey,userPrincipalName,TenantId,Type,_ResourceId
"2/5/2025, 12:20:23 AM",Client,,,Identity and Access Management,Chrome,,121.0.0.0,,no,Identity and Access Management,0,unknown,248096,50,1707156590,1707156540,,,1,Mac Device,alliances.goskope.com,US,0,37,San Jose,-122,California,America/Los_Angeles,95141,,1.2.3.4,443,,,,manuel.boira,131,,ES-MAD2,,1073254,,,Sonoma,Sonoma,alliances.goskope.com/ns,,HTTP/1.1,131,0,131,15492,text/html,,,825158,,unknown,,goskope,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:08:00 2024,Europe/Madrid,N/A,1.1.1.1,,0,0,1707156540,Web,0,connection,sam.altman@openai.com,alliances.goskope.com/ns,sam.altman@openai.com,yes,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1.1.1.1,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,,,Identity and Access Management,Chrome,,121.0.0.0,,no,Identity and Access Management,0,unknown,96991,41,1707156674,1707156633,,,1,Mac Device,alliances.goskope.com,US,0,37,San Jose,-122,California,America/Los_Angeles,95141,,1.2.3.5,443,,,,manuel.boira,58,,ES-MAD2,,2689797,,,Sonoma,Sonoma,alliances.goskope.com/ns,,HTTP/1.1,58,0,58,15492,text/html,,,2592806,,unknown,,goskope,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:08:00 2024,Europe/Madrid,N/A,1.1.1.2,,0,0,1707156633,Web,0,connection,sam.altman@openai.com,alliances.goskope.com/ns,sam.altman@openai.com,yes,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1.1.1.2,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,Microsoft Azure DevOps,0,Development Tools,,0,,SSL Do Not Decrypt Bypass Policy Matched,yes,Development Tools,83,high,0,0,0,0,0,,1,,update.code.visualstudio.com,US,0,47,Redmond,-123,Washington,America/Los_Angeles,N/A,,1.2.3.6,443,,,,,0,,ES-MAD2,,0,,,,,update.code.visualstudio.com,test-policy1,,0,,0,0,,,,0,,,,Visual Studio,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:12:00 2024,Europe/Madrid,N/A,1.1.1.3,yes,0,0,1707156744,CloudApp,0,connection,sam.altman@openai.com,update.code.visualstudio.com,sam.altman@openai.com,yes,,1.1.1.3,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,Microsoft Azure DevOps,0,Development Tools,,0,,SSL Do Not Decrypt Bypass Policy Matched,yes,Development Tools,83,high,0,0,0,0,0,,1,,marketplace.visualstudio.com,US,0,47,Redmond,-123,Washington,America/Los_Angeles,N/A,,1.2.3.7,443,,,,,0,,ES-MAD2,,0,,,,,marketplace.visualstudio.com,test-policy1,,0,,0,0,,,,0,,,,Visual Studio,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:12:00 2024,Europe/Madrid,N/A,1.1.1.4,yes,0,0,1707156744,CloudApp,0,connection,sam.altman@openai.com,marketplace.visualstudio.com,sam.altman@openai.com,yes,,1.1.1.4,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,,,Technology,Chrome,,121.0.0.0,,no,Technology,0,unknown,24577,40,1707156730,1707156690,,,1,Mac Device,www.unixtimestamp.com,US,0,39,Ashburn,-78,Virginia,America/New_York,20149,,1.2.3.8,443,,,,manuel.boira,18,,ES-MAD2,,497173,,,Sonoma,Sonoma,www.unixtimestamp.com/,,HTTP/1.1,18,0,18,92431,text/html,,,472596,,unknown,,unixtimestamp,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:08:00 2024,Europe/Madrid,N/A,1.1.1.5,,0,0,1707156690,Web,0,connection,sam.altman@openai.com,www.unixtimestamp.com/,sam.altman@openai.com,yes,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1.1.1.5,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,Mozilla,,Search Engines,Chrome,,121.0.0.0,,no,Search Engines,,unknown,9140,4,1707156807,1707156803,,,1,Mac Device,developer.mozilla.org,US,0,39,Kansas City,-95,Missouri,America/Chicago,64184,,1.2.3.9,443,,,,manuel.boira,17,,ES-MAD2,,845341,,,Sonoma,Sonoma,developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Date/getUTCMinutes,,HTTP/1.1,17,0,17,64759,text/html,,,836201,,unknown,,Mozilla,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:08:00 2024,Europe/Madrid,N/A,1.1.1.6,,0,0,1707156803,CloudApp,0,connection,sam.altman@openai.com,developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Date/getUTCMinutes,sam.altman@openai.com,yes,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1.1.1.6,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,Amazon S3,,Cloud Storage,Chrome,,121.0.0.0,,no,Cloud Storage,99,excellent,248653,15,1707156592,1707156577,,,1,Mac Device,s3.console.aws.amazon.com,US,0,47,Seattle,-123,Washington,America/Los_Angeles,N/A,,1.2.3.10,443,,,,manuel.boira,75,,ES-MAD2,,321786,,,Sonoma,Sonoma,s3.console.aws.amazon.com/s3/buckets,,HTTP/1.1,75,0,75,27584,text/html,,,73133,,unknown,,Amazon S3,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:09:00 2024,Europe/Madrid,N/A,1.1.1.7,,0,0,1707156577,CloudApp,0,connection,sam.altman@openai.com,s3.console.aws.amazon.com/s3/buckets,sam.altman@openai.com,yes,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1.1.1.7,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,,,Technology,Chrome,,121.0.0.0,,no,Technology,0,unknown,43630,24,1707157244,1707157220,,,1,Mac Device,www.unixtimestamp.com,US,0,39,Ashburn,-78,Virginia,America/New_York,20149,,1.2.3.11,443,,,,manuel.boira,33,,ES-MAD2,,643005,,,Sonoma,Sonoma,www.unixtimestamp.com/,,HTTP/1.1,33,0,33,92431,text/html,,,599375,,unknown,,unixtimestamp,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:08:00 2024,Europe/Madrid,N/A,1.1.1.8,,0,0,1707157220,Web,0,connection,sam.altman@openai.com,www.unixtimestamp.com/,sam.altman@openai.com,yes,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36",1.1.1.8,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,Spotify,0,Streaming & Downloadable Audio,,0,,Steering Exception - Default tenant config,yes,Streaming & Downloadable Audio,49,poor,0,0,0,0,0,,1,,spclient.wg.spotify.com,US,0,39,Kansas City,-95,Missouri,America/Chicago,64184,,1.2.3.12,443,,,,,0,,ES-MAD2,,0,,,,,spclient.wg.spotify.com,,,0,,0,0,,,,0,,,,Spotify,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:22:00 2024,Europe/Madrid,N/A,1.1.1.9,no,0,0,1707157330,CloudApp,0,connection,sam.altman@openai.com,spclient.wg.spotify.com,sam.altman@openai.com,yes,,1.1.1.9,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
"2/5/2025, 12:20:23 AM",Client,Spotify,0,Streaming & Downloadable Audio,,0,,Steering Exception - Default tenant config,yes,Streaming & Downloadable Audio,49,poor,0,0,0,0,0,,1,,gew1-spclient.spotify.com,US,0,39,Kansas City,-95,Missouri,America/Chicago,64184,,1.2.3.13,443,,,,,0,,ES-MAD2,,0,,,,,gew1-spclient.spotify.com,,,0,,0,0,,,,0,,,,Spotify,ES,0,37,Huelva,-7,Andalucia,Mon Feb  5 19:22:00 2024,Europe/Madrid,N/A,1.1.1.10,no,0,0,1707157330,CloudApp,0,connection,sam.altman@openai.com,gew1-spclient.spotify.com,sam.altman@openai.com,yes,,1.1.1.10,sam.altman@openai.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsPage_CL,
