TimeGenerated [UTC],access_method,action,app,appcategory,category,cci,ccl,client_bytes,client_packets,count_i,device,domain,dst_country,dst_geoip_src,dst_latitude,dst_location,dst_longitude,dst_region,dst_zipcode,dsthost,dstip,dstport,end_time,flow_status,hostname,ip_protocol,netskope_pop,network_session_id,num_sessions,numbytes,organization_unit,os,os_version,policy,pop_id,protocol,protocol_port,publisher_cn,publisher_name,sAMAccountName,server_bytes,server_packets,session_duration,site,src_country,src_geoip_src,src_latitude,src_location,src_longitude,src_region,src_zipcode,srcip,srcport,start_time,timestamp,total_packets,traffic_type,tunnel_id,tunnel_type,tunnel_up_time,type_s,ur_normalized,user,userip,userkey,userPrincipalName,TenantId,Type,_ResourceId
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,0,0,1,,,,2,0,,0,,,,1.2.3.4,0,,open,,ICMP,,,0,0,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.4,0,2025-01-03T05:53:24.0000000+00:00,1735883604,0,non-web,83,,0,network,1.2.3.4,1.2.3.4,1.2.3.4,1.2.3.4,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",Client,allow,,n/a,n/a,0,unknown,260,5,1,Other,,US,1,47,Redmond,-123,Washington,,,1.2.3.5,32526,2025-01-03T05:52:50.0000000+00:00,close,,TCP,,,0,260,,Windows Server 10.0,,default,,,,,,,0,0,15041,,US,2,37,San Jose,-122,California,95141,1.2.3.5,54108,2025-01-03T05:52:35.0000000+00:00,1735883601,5,non-web,1126767658735683,,0,network,adam.sandler@gmail.com,adam.sandler@gmail.com,1.2.3.5,adam.sandler@gmail.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,0,0,1,,,,2,0,,0,,,,1.2.3.6,0,,open,,ICMP,,,0,0,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.6,0,2025-01-03T05:53:19.0000000+00:00,1735883599,0,non-web,83,,0,network,1.2.3.5,1.2.3.5,1.2.3.6,1.2.3.5,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,28,1,1,,,,2,0,,0,,,,1.2.3.7,0,2025-01-03T05:53:19.0000000+00:00,close,,ICMP,,,0,28,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.7,0,2025-01-03T05:53:19.0000000+00:00,1735883601,1,non-web,83,,0,network,1.2.3.6,1.2.3.6,1.2.3.7,1.2.3.6,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,0,0,1,,,,2,0,,0,,,,1.2.3.8,0,,open,,ICMP,,,0,0,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.8,0,2025-01-03T05:53:29.0000000+00:00,1735883609,0,non-web,83,,0,network,1.2.3.7,1.2.3.7,1.2.3.8,1.2.3.7,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",Client,allow,,n/a,n/a,0,unknown,260,5,1,Other,,US,1,47,Redmond,-123,Washington,,,1.2.3.9,32526,2025-01-03T05:52:57.0000000+00:00,close,,TCP,,,0,260,,Windows Server 10.0,,default,,,,,,,0,0,15020,,US,2,37,San Jose,-122,California,95141,1.2.3.9,54109,2025-01-03T05:52:42.0000000+00:00,1735883608,5,non-web,1126767658735683,,0,network,adam.sandler@gmail.com,adam.sandler@gmail.com,1.2.3.9,adam.sandler@gmail.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",Client,allow,Domain Name Service (DNS),Shopping,Shopping,0,unknown,0,0,1,Other,,US,1,47,Redmond,-123,Washington,,,1.2.3.10,53,,open,,UDP,,,0,0,,Windows Server 10.0,,default,,,,,,,0,0,0,dns,US,2,37,San Jose,-122,California,95141,1.2.3.10,58698,2025-01-03T05:53:30.0000000+00:00,1735883610,0,non-web,1126767658735683,,0,network,adam.sandler@gmail.com,adam.sandler@gmail.com,1.2.3.10,adam.sandler@gmail.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,28,1,1,,,,2,0,,0,,,,1.2.3.11,0,2025-01-03T05:53:29.0000000+00:00,close,,ICMP,,,0,28,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.11,0,2025-01-03T05:53:29.0000000+00:00,1735883611,1,non-web,83,,0,network,1.2.3.8,1.2.3.8,1.2.3.11,1.2.3.8,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",Client,allow,Network Time Protocol (NTP),n/a,n/a,0,unknown,0,0,1,Other,time.windows.com,US,2,29,San Antonio,-99,Texas,78288,time.windows.com,1.2.3.12,123,,open,,UDP,,,0,0,,Windows Server 10.0,,default,,,,,,,0,0,0,ntp,US,2,37,San Jose,-122,California,95141,1.2.3.12,123,2025-01-03T05:53:34.0000000+00:00,1735883614,0,non-web,1126767658735683,,0,network,adam.sandler@gmail.com,adam.sandler@gmail.com,1.2.3.12,adam.sandler@gmail.com,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
"2/4/2025, 7:30:23 PM",IPSec,allow,Internet Control Message Protocol (ICMP),n/a,n/a,0,unknown,28,1,1,,,,2,0,,0,,,,1.2.3.13,0,2025-01-03T05:53:29.0000000+00:00,close,,ICMP,,,0,28,,,,default,,,,,,,0,0,0,icmp,CA,2,43,Toronto,-80,Ontario,M5A,1.2.3.13,0,2025-01-03T05:53:29.0000000+00:00,1735883611,1,non-web,83,,0,network,1.2.3.9,1.2.3.9,1.2.3.13,1.2.3.9,,b12493cc-337a-402c-9356-8c2ed0856350,NetskopeEventsNetwork_CL,
