"TimeGenerated","EventId","MessageId","InternetMessageId","Subject","SenderAddress","SenderDomain","SenderIP","RecipientAddress","RecipientDomain","Direction","Action","ThreatVerdict","ThreatConfidence","ScanEngine","SpamScore","AttachmentCount","AttachmentName","AttachmentType","AttachmentSHA256","UrlCount","Urls","SPFResult","DKIMResult","DMARCResult","HeaderFrom","EnvelopeFrom","ReturnPath","TLSVersion","MessageSize","ProcessingTimeMs","PolicyName","IsInternal"
"02/10/2026 10:23:22","2e7f191e-a6bf-42f9-a449-7f481dc8552d","<8f43e9dd-0434-4310-adfe-265564b5191e@proseware.com>","<2b9b09bc-1dbf-4c51-b8bf-25213135455a@proseware.com>","Meeting Tomorrow at 3pm","moorenicole@proseware.com","proseware.com","219.40.84.219","eric.briggs@contoso.com","contoso.com","Internal","Allow","Clean","0","MailGuard URL Rewrite","0","1","fill.xlsx","xlsx","d661db59390074a7ca28ee9092b6d1a1e6f9a7fa48d31814fe84170dac2f58f0","1","","Pass","Pass","None","moorenicole@proseware.com","moorenicole@proseware.com","moorenicole@proseware.com","TLSv1.2","39577","2715","Default Outbound","True"
"02/10/2026 10:25:22","8ebc20d2-a56f-44d3-8845-a4962f656de3","<5230a69e-d9c2-4d26-a777-3a4e891d07b8@proseware.com>","<4df36472-386d-49ff-a792-38a6d1ae037e@proseware.com>","Invoice #7557 — Payment Confirmation","omills@proseware.com","proseware.com","199.193.50.178","warren.wiggins@contoso.com","contoso.com","Internal","Allow","Clean","0","MailGuard ML Classifier","0","0","","","","2","","Pass","Pass","Pass","omills@proseware.com","omills@proseware.com","omills@proseware.com","TLSv1.2","89146","1710","Default Outbound","True"
"02/10/2026 10:27:22","4fae8df4-0261-4784-9817-5803393ab887","<752e90b2-bc64-46d4-9ccc-cb9eab820e40@northwind.com>","<26e63f17-cbca-4455-8b8c-78d23660953e@northwind.com>","Invoice #6496 — Payment Confirmation","jacobjoseph@northwind.com","northwind.com","113.168.165.5","ashley.hughes@contoso.com","contoso.com","Internal","Allow","Clean","0","MailGuard URL Rewrite","0","0","","","","0","","SoftFail","Pass","None","jacobjoseph@northwind.com","jacobjoseph@northwind.com","jacobjoseph@northwind.com","TLSv1.3","140769","4844","Default Outbound","True"
"02/10/2026 10:29:22","7843dd0c-3313-4874-abee-c9bf977af817","<2e2ff40c-b70d-4613-a0f7-3555950bf2c4@adatum.com>","<3f81dd19-773a-4ceb-aafc-f0dc4b05c9a6@adatum.com>","Action Required: Compliance Training","lisaclarke@adatum.com","adatum.com","209.148.124.16","felicia.welch@contoso.com","contoso.com","Outbound","Allow","Clean","0","MailGuard Sandbox","0","1","enter.xlsx","xlsx","1286857ff2efd8bf9bd52d7d1df4317da209802961a9e1521b5368898bd0589a","2","","SoftFail","None","Pass","lisaclarke@adatum.com","lisaclarke@adatum.com","lisaclarke@adatum.com","TLSv1.3","424489","121","Default Outbound","False"
"02/10/2026 10:31:22","a486d008-6558-46e2-91ff-4dcd9c303a2e","<a1ad0bd5-89e1-4a3a-937d-70fa821ba783@contoso.com>","<db2109b5-df92-4ab2-bccf-5cfbaed12a98@contoso.com>","Shared document: realize.xlsx","qbennett@contoso.com","contoso.com","221.94.58.245","tracy.hughes@contoso.com","contoso.com","Outbound","Allow","Clean","0","MailGuard Static","2","0","","","","2","","Pass","Pass","Pass","qbennett@contoso.com","qbennett@contoso.com","qbennett@contoso.com","TLSv1.2","216244","4643","Default Outbound","False"
"02/10/2026 10:33:22","25916406-b4be-4542-96dd-62041b4fbf31","<57c183eb-919e-4fcb-a0af-da9a5fc97eb1@contoso.com>","<038b9d4d-6db7-4490-aaf1-69c666ed67af@contoso.com>","Meeting Tomorrow at 3pm","rkelley@contoso.com","contoso.com","220.35.45.163","jason.beard@contoso.com","contoso.com","Inbound","Allow","Clean","0","MailGuard Sandbox","0","0","","","","3","","Pass","Pass","None","rkelley@contoso.com","rkelley@contoso.com","rkelley@contoso.com","TLSv1.3","453351","373","PCI Compliance","False"
"02/10/2026 10:35:22","f5265147-fd09-4bc0-b8ec-c73e28bce48d","<c3efb37d-cc7c-4637-ad58-6019e283984e@fabrikam.com>","<cd83d167-bb12-45c0-8630-b797dc074c22@fabrikam.com>","Shared document: personal.xlsx","christinawells@fabrikam.com","fabrikam.com","208.96.231.53","emily.hoffman@contoso.com","contoso.com","Internal","Allow","Clean","0","MailGuard Sandbox","1","1","listen.docx","docx","3a23d4614fd453ec7f985c49d52d8df2e0ce863ebb8a28b166288964e9c99d12","1","","Pass","Pass","Pass","christinawells@fabrikam.com","christinawells@fabrikam.com","christinawells@fabrikam.com","TLSv1.2","182834","2598","Default Outbound","True"
"02/10/2026 10:37:22","17740877-2e40-4ef0-bfe6-11ed76cb8dbb","<7b99695f-73b4-49a1-89dd-a5dd4485d66c@fabrikam.com>","<ce518148-f68e-4fc1-9438-282f966272db@fabrikam.com>","Re: Q4 Budget Review","benjaminnelson@fabrikam.com","fabrikam.com","77.113.81.193","jeffrey.ellis@contoso.com","contoso.com","Internal","Allow","Clean","0","MailGuard ML Classifier","0","0","","","","1","","SoftFail","Pass","None","benjaminnelson@fabrikam.com","benjaminnelson@fabrikam.com","benjaminnelson@fabrikam.com","TLSv1.2","308294","367","Default Outbound","True"
"02/10/2026 10:39:22","e4c1c1ec-fdad-489d-bfa5-af8aa681976d","<89c6bf02-1b7b-4adf-a4ef-4de95c69af7a@northwind.com>","<3ea8212d-6642-4a5f-9f30-63ef8048bbbd@northwind.com>","Meeting Tomorrow at 3pm","jvillanueva@northwind.com","northwind.com","203.183.247.116","adrian.gill@contoso.com","contoso.com","Outbound","Allow","Clean","0","MailGuard Static","0","0","","","","2","","Pass","None","Pass","jvillanueva@northwind.com","jvillanueva@northwind.com","jvillanueva@northwind.com","TLSv1.3","52344","151","Default Outbound","False"
"02/10/2026 10:41:22","cc9d90d7-d039-43ed-a9ce-c9c75a336435","<85cf4da3-f9db-4e91-b04f-46e6081137b4@northwind.com>","<9aad48de-361c-47ed-a1af-3270efc38210@northwind.com>","Weekly Status Update","kristenhernandez@northwind.com","northwind.com","136.178.127.126","denise.carter@contoso.com","contoso.com","Outbound","Allow","Clean","0","MailGuard ML Classifier","0","1","win.pdf","pdf","190077ba7c7373260faf0dd7e625e1f2c9090e42641cd3e135ac90e52bc1b571","2","","SoftFail","Pass","None","kristenhernandez@northwind.com","kristenhernandez@northwind.com","kristenhernandez@northwind.com","TLSv1.2","213983","1013","Default Outbound","False"
"02/10/2026 10:43:22","92118493-fd9e-466b-9cf6-671741ee3d96","<7c34d718-6ba5-48dd-a664-b313cf91beb2@adatum.com>","<58b4eeac-8eee-40ca-b18f-d9191f2fcb3e@adatum.com>","Meeting Tomorrow at 3pm","kmiller@adatum.com","adatum.com","203.193.82.93","natalie.gardner@contoso.com","contoso.com","Outbound","Allow","Clean","0","MailGuard URL Rewrite","2","1","money.docx","docx","c73ce6ebe16559360d1af26454c644d9b00646a5c1d44cccea4ec424dffe4428","2","","Pass","Pass","Pass","kmiller@adatum.com","kmiller@adatum.com","kmiller@adatum.com","TLSv1.3","201147","3791","Default Outbound","False"
"02/10/2026 10:45:22","0f23577c-68a0-479b-80ec-e3a3b362725b","<2fb75bb8-a98b-4176-8085-7c10165c15c8@contoso.com>","<958209a2-5617-44ca-ac4e-d10d410a95ef@contoso.com>","Re: Q4 Budget Review","krichardson@contoso.com","contoso.com","156.52.141.189","jeremy.boone@contoso.com","contoso.com","Inbound","Allow","Clean","0","MailGuard ML Classifier","1","0","","","","2","","Pass","Pass","Pass","krichardson@contoso.com","krichardson@contoso.com","krichardson@contoso.com","TLSv1.2","92349","4383","Exec Protection","False"
"02/10/2026 10:47:22","116f2c5e-dcb1-46fc-9bb8-7a7fd95a05b7","<a0bf7f00-36fd-40b7-95a0-46ad25bcac23@fabrikam.com>","<7aaf57c9-1fa0-403e-87f8-2d91b8c1e36b@fabrikam.com>","Action Required: Compliance Training","marybrown@fabrikam.com","fabrikam.com","16.144.111.142","nicholas.butler@contoso.com","contoso.com","Outbound","Allow","Clean","0","MailGuard ML Classifier","2","0","","","","0","","Pass","Pass","Pass","marybrown@fabrikam.com","marybrown@fabrikam.com","marybrown@fabrikam.com","TLSv1.2","300148","1612","Default Outbound","False"
"02/10/2026 10:49:22","86f7f720-1b94-4a21-a546-00a2e3a79ab2","<0d64811f-4196-4922-910e-81f4fa29dd1b@fabrikam.com>","<0929231e-9439-41c1-9d36-1b241c3675df@fabrikam.com>","Your order has shipped","meadowsrebekah@fabrikam.com","fabrikam.com","173.12.39.150","michelle.cooper@contoso.com","contoso.com","Internal","Allow","Clean","0","MailGuard URL Rewrite","0","0","","","","3","","Pass","Pass","Pass","meadowsrebekah@fabrikam.com","meadowsrebekah@fabrikam.com","meadowsrebekah@fabrikam.com","TLSv1.3","91449","3312","Default Outbound","True"
