"TimeGenerated [UTC]","severity_name","risk_posture_name","account_id","device_owner_id","device_owner_email","device_owner_first_name","device_owner_middle_name","device_owner_last_name","device_time [UTC]","device_info_tag1","device_info_tag2","detection_app","device_operator","zdevice_id","detection_app_instance_id","detection_app_version","device_os","device_jailbroken","device_os_version","device_model","device_id","device_type","mdm_device_id","mdm_alt_ids","threat_name","threat_uuid","threat_display_name","threat_status","mitigation_reason",TenantId,Type,"_ResourceId"
"4/14/2026, 9:52:16.573 PM",ELEVATED,,"ef3f0a8c-4866-403e-b31f-95c21d65b29d",,"test-c9dca281-178b-4fad-a2a7-ab1c0b573502@test.com",,,,,,,MTD,,"50a0bed3-1ef6-4d22-b380-031045db0110","c743571e-ce06-5714-8212-df7dcc5ff47a","5.4.11",android,false,10,"SM-M307F","96930066-242b-4499-9108-fd98b38192b6",,,,"USB_DEBUGGING_ON","5e366c69-8cef-47d4-9536-706c184b60f4","USB Debugging Mode",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 9:52:18.635 PM",LOW,,"ef3f0a8c-4866-403e-b31f-95c21d65b29d",,"test-c9dca281-178b-4fad-a2a7-ab1c0b573502@test.com",,,,,,,MTD,,"50a0bed3-1ef6-4d22-b380-031045db0110","c743571e-ce06-5714-8212-df7dcc5ff47a","5.4.11",android,false,10,"SM-M307F","96930066-242b-4499-9108-fd98b38192b6",,,,"DEVELOPER_OPTIONS_ON","1237fd9e-30fd-406b-95f9-a979bcb70ab9","Developer Options",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:02:28.935 PM",ELEVATED,,"751a62d0-bf63-48e4-8511-fb9059d2f44f",,"test-7535cc3c-66c3-4aa4-a252-ec6a2aff0d1f@test.com",,,,,,,MTD,,"7f6c5ee6-6354-4a7e-bc59-0c19b4eb88ba","4895b6f2-013c-591f-ace5-4f6279d6288b","5.5.3",ios,false,"17.5.1","iPhone14,6","0928782e-2b21-414c-a8d4-f1c528442c5f",,,,"MALICIOUS_WEBSITE","bed0f13a-eaef-4bc6-a5d0-ff39dbf8ec63","Phishing Protection - Linked Tapped",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:16:51.400 PM",LOW,,"793a27c2-e6a7-491f-98cb-71c2fce2cf73",,"test-304db9b4-8bde-4c0f-9075-296ada3bd88f@test.com",,,,,,,MTD,,"1510cd54-b23a-4ba7-827b-099b9674e510","0b480e1e-605f-565f-b135-6f174c07754b","5.4.11",android,false,10,"SM-M307F","ad7ca7e4-93fd-4f5f-a31b-79937f2ea69f",,,,"UNSECURED_WIFI_NETWORK","fc922cec-8cc3-447d-acaf-4ad219c66222","Unsecured WiFi Network",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:16:55.619 PM",CRITICAL,,"793a27c2-e6a7-491f-98cb-71c2fce2cf73",,"test-304db9b4-8bde-4c0f-9075-296ada3bd88f@test.com",,,,,,,MTD,,"1510cd54-b23a-4ba7-827b-099b9674e510","0b480e1e-605f-565f-b135-6f174c07754b","5.4.11",android,false,10,"SM-M307F","ad7ca7e4-93fd-4f5f-a31b-79937f2ea69f",,,,"DEVICE_COMPROMISED_VIA_PHISHING_ATTACK","894a4970-0e46-457b-86b1-ee04e032bf6a","Device Compromised via Phishing Attack",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:18:40.049 PM",LOW,,"2e4a204b-88fd-4186-9fbf-b7eaddeec3ca",,"test-d9ca703d-bff7-4e49-9e7c-3c55b5c48f93@test.com",,,,,,,MTD,,"8ba3bc47-42eb-41ba-bde4-1252e10c6a3d","03e1086b-899e-50a1-9e16-a6ebf49b1e59","5.4.11",android,false,10,"SM-M307F","5423fdcc-47d4-4a50-8447-63430e557133",,,,"DEVELOPER_OPTIONS_ON","2369f7bb-ad99-4bd1-a633-45c08db0d050","Developer Options",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:18:41.831 PM",CRITICAL,,"2e4a204b-88fd-4186-9fbf-b7eaddeec3ca",,"test-d9ca703d-bff7-4e49-9e7c-3c55b5c48f93@test.com",,,,,,,MTD,,"8ba3bc47-42eb-41ba-bde4-1252e10c6a3d","03e1086b-899e-50a1-9e16-a6ebf49b1e59","5.4.11",android,false,10,"SM-M307F","5423fdcc-47d4-4a50-8447-63430e557133",,,,"DEVICE_COMPROMISED_VIA_PHISHING_ATTACK","18c9b806-c77a-40ae-9374-77f3705db617","Device Compromised via Phishing Attack",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:18:50.116 PM",ELEVATED,,"2e4a204b-88fd-4186-9fbf-b7eaddeec3ca",,"test-d9ca703d-bff7-4e49-9e7c-3c55b5c48f93@test.com",,,,,,,MTD,,"8ba3bc47-42eb-41ba-bde4-1252e10c6a3d","03e1086b-899e-50a1-9e16-a6ebf49b1e59","5.4.11",android,false,10,"SM-M307F","5423fdcc-47d4-4a50-8447-63430e557133",,,,"MALICIOUS_WEBSITE","aa68021d-3639-4e04-9ea1-b13e31e3f45f","Phishing Protection - Linked Tapped",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:18:52.229 PM",CRITICAL,,"2e4a204b-88fd-4186-9fbf-b7eaddeec3ca",,"test-d9ca703d-bff7-4e49-9e7c-3c55b5c48f93@test.com",,,,,,,MTD,,"8ba3bc47-42eb-41ba-bde4-1252e10c6a3d","03e1086b-899e-50a1-9e16-a6ebf49b1e59","5.4.11",android,false,10,"SM-M307F","5423fdcc-47d4-4a50-8447-63430e557133",,,,"COMPROMISED_NETWORK","c4e311ba-cf58-47a9-94d7-9f23c369351a","Compromised Network",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
"4/14/2026, 10:20:14.750 PM",LOW,,"7f22e442-02e9-4c68-ae00-976ab46d6903",,"test-84dbbdc5-428a-41ca-b586-419b6a39b9e9@test.com",,,,,,,MTD,,"b0292b40-4cca-421e-982c-89bd2dd3a7f2","07685c21-fbb7-5fd6-b0db-4efbd938cc44","5.5.3",ios,false,"17.5.1","iPhone14,6","6a7bf563-04ad-4777-83d2-3bec8e672667",,,,"UNSECURED_WIFI_NETWORK","a636f0ba-321b-4121-9c1a-5babff0702d5","Unsecured WiFi Network",Resolved,,"66f480f8-6176-422e-90d6-eb68b467f484","ZimperiumMitigationLogV2_CL",
